,contours
10,"[[[3588, 5105], [3708, 5117]], [[3558, 4590], [3690, 4593], [3704, 4949], [3582, 4956]], [[4287, 4256], [4414, 4218], [4429, 4529], [4297, 4547]], [[3021, 4100], [2876, 4093], [2814, 3741], [2947, 3760]], [[4054, 4945], [4185, 4931]], [[4020, 4031], [4151, 4002], [4168, 4326], [4034, 4346]], [[3865, 1633], [4099, 1582], [4221, 2250], [4010, 2289]], [[3790, 2598], [3936, 2508], [3992, 2931], [3858, 2946]], [[2557, 3675], [2420, 3676], [2359, 3395], [2483, 3405]], [[3714, 3601], [3834, 3547], [3861, 3785], [3747, 3859]], [[4193, 3114], [4371, 3013], [4312, 3462], [4193, 3486]], [[3405, 2161], [3537, 2133], [3625, 2520], [3495, 2557]]]"
11,"[[[3584, 5105], [3716, 5121]], [[3558, 4590], [3689, 4593], [3704, 4949], [3582, 4956]], [[4285, 4202], [4410, 4192], [4426, 4510], [4298, 4520]], [[3023, 4124], [2883, 4123], [2816, 3764], [2949, 3783]], [[4055, 4922], [4184, 4910]], [[4017, 4022], [4152, 4002], [4167, 4312], [4033, 4325]], [[2568, 3708], [2435, 3713], [2368, 3427], [2496, 3426]], [[3787, 2599], [3941, 2524], [3988, 2915], [3856, 2933]], [[3945, 1890], [4054, 1874], [4156, 2323], [4063, 2293]], [[3709, 3570], [3829, 3518], [3858, 3765], [3745, 3839]], [[4176, 3168], [4260, 3155], [4313, 3440], [4190, 3466]], [[3416, 2203], [3526, 2112], [3622, 2504], [3491, 2540]]]"
12,"[[[3588, 5105], [3715, 5121]], [[3558, 4590], [3689, 4593], [3704, 4949], [3582, 4956]], [[3023, 4140], [2882, 4139], [2815, 3775], [2955, 3806]], [[4285, 4209], [4411, 4172], [4426, 4475], [4298, 4501]], [[4055, 4905], [4183, 4888]], [[4016, 4012], [4149, 3982], [4167, 4292], [4029, 4319]], [[2579, 3742], [2435, 3735], [2375, 3447], [2500, 3449]], [[3779, 2515], [3926, 2423], [3991, 2878], [3854, 2908]], [[3900, 1844], [4061, 1807], [4187, 2333], [4045, 2335]], [[3688, 3490], [3807, 3427], [3854, 3725], [3741, 3799]], [[4189, 3124], [4329, 3097], [4309, 3399], [4187, 3425]], [[3411, 2183], [3527, 2129], [3618, 2470], [3486, 2524]]]"
13,"[[[3588, 5105], [3717, 5120]], [[3558, 4590], [3690, 4593], [3705, 4953], [3582, 4955]], [[3032, 4179], [2892, 4176], [2818, 3798], [2963, 3840]], [[4284, 4181], [4409, 4145], [4423, 4449], [4298, 4479]], [[4053, 4883], [4182, 4884]], [[4017, 4001], [4148, 3991], [4167, 4285], [4030, 4311]], [[2582, 3765], [2448, 3772], [2384, 3478], [2507, 3472]], [[3680, 3462], [3801, 3406], [3851, 3695], [3739, 3769]], [[3779, 2497], [3928, 2440], [3988, 2862], [3852, 2893]], [[4205, 3076], [4361, 3019], [4306, 3379], [4184, 3404]], [[3858, 1721], [4087, 1678], [4195, 2129], [3995, 2183]], [[3399, 2143], [3527, 2111], [3612, 2453], [3486, 2490]]]"
14,"[[[3588, 5105], [3714, 5121]], [[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]], [[3032, 4179], [2892, 4176], [2818, 3798], [2963, 3840]], [[4284, 4181], [4409, 4145], [4423, 4449], [4300, 4479]], [[4054, 4883], [4182, 4884]], [[4017, 4001], [4146, 3971], [4167, 4285], [4030, 4311]], [[2582, 3765], [2448, 3772], [2384, 3478], [2507, 3472]], [[3680, 3462], [3801, 3406], [3851, 3695], [3739, 3769]], [[3779, 2497], [3928, 2440], [3988, 2862], [3852, 2893]], [[4189, 3053], [4283, 2915], [4304, 3390], [4184, 3425]], [[3860, 1788], [4094, 1745], [4201, 2146], [3995, 2202]], [[3403, 2161], [3526, 2112], [3612, 2435], [3486, 2490]]]"
15,"[[[3588, 5105], [3712, 5117]], [[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]], [[3033, 4203], [2891, 4192], [2832, 3844], [2973, 3875]], [[4053, 4863], [4182, 4864]], [[4281, 4153], [4408, 4125], [4423, 4436], [4297, 4459]], [[4014, 3993], [4144, 3961], [4166, 4271], [4029, 4297]], [[2583, 3776], [2441, 3782], [2381, 3480], [2512, 3494]], [[3679, 3462], [3801, 3417], [3849, 3676], [3737, 3759]], [[4151, 3011], [4304, 2952], [4301, 3370], [4183, 3394]], [[3777, 2498], [3926, 2423], [3987, 2845], [3849, 2878]], [[3869, 1892], [4100, 1867], [4201, 2256], [4007, 2272]], [[3390, 2106], [3518, 2063], [3610, 2417], [3477, 2458]]]"
16,"[[[3588, 5105], [3717, 5120]], [[3559, 4590], [3690, 4593], [3705, 4953], [3582, 4955]], [[4278, 4126], [4407, 4119], [4423, 4402], [4297, 4439]], [[3038, 4234], [2901, 4230], [2843, 3890], [2974, 3895]], [[4049, 4839], [4182, 4843]], [[4014, 3950], [4144, 3920], [4165, 4250], [4029, 4275]], [[2597, 3821], [2457, 3830], [2386, 3502], [2518, 3517]], [[4139, 2944], [4277, 2872], [4298, 3339], [4182, 3364]], [[2017, 1108]], [[3851, 1765], [4089, 1723], [4186, 2113], [3982, 2150]], [[3776, 2463], [3924, 2405], [3988, 2831], [3843, 2862]], [[3657, 3391], [3787, 3369], [3845, 3646], [3734, 3729]]]"
17,"[[[3587, 5105], [3715, 5121]], [[3558, 4590], [3692, 4598], [3704, 4949], [3582, 4956]], [[3043, 4266], [2902, 4253], [2839, 3901], [2975, 3913]], [[4277, 4112], [4406, 4085], [4422, 4375], [4297, 4404]], [[4051, 4833], [4181, 4833], [4057, 5167]], [[4014, 3929], [4141, 3900], [4164, 4236], [4028, 4261]], [[2604, 3855], [2465, 3854], [2387, 3513], [2518, 3529]], [[4136, 2945], [4282, 2818], [4295, 3319], [4177, 3343]], [[3769, 2410], [3916, 2352], [3992, 2770], [3839, 2811]], [[2012, 1041]], [[3651, 3365], [3775, 3331], [3842, 3627], [3732, 3710]], [[3899, 1756], [4027, 1734], [4156, 2341], [4075, 2290]], [[2315, 2664], [2182, 2685], [2163, 2396], [2297, 2414]]]"
18,"[[[3588, 5105], [3717, 5120]], [[3561, 4606], [3692, 4598], [3704, 4949], [3582, 4956]], [[3049, 4297], [2910, 4282], [2836, 3912], [2976, 3940]], [[4277, 4091], [4406, 4068], [4421, 4335], [4296, 4363]], [[4051, 4823], [4180, 4824], [4188, 5145], [4058, 5149]], [[4009, 3921], [4141, 3900], [4162, 4214], [4027, 4240]], [[2613, 3889], [2474, 3889], [2392, 3536], [2517, 3541]], [[4133, 2911], [4275, 2803], [4291, 3289], [4177, 3323]], [[3767, 2411], [3909, 2317], [3990, 2771], [3837, 2811]], [[3646, 3344], [3773, 3320], [3839, 3597], [3729, 3669]], [[3844, 1563], [4046, 1541], [4144, 2124], [4002, 2126]], [[2319, 2694], [2180, 2685], [2189, 2415], [2306, 2415]]]"
19,"[[[3588, 5105], [3718, 5120]], [[3558, 4590], [3692, 4598], [3704, 4949], [3582, 4956]], [[3049, 4297], [2910, 4282], [2836, 3912], [2977, 3940]], [[4277, 4091], [4407, 4037], [4420, 4334], [4296, 4363]], [[4051, 4823], [4180, 4827], [4188, 5145], [4058, 5152]], [[4009, 3921], [4140, 3890], [4162, 4214], [4027, 4240]], [[2613, 3889], [2474, 3889], [2392, 3536], [2517, 3541]], [[4133, 2911], [4275, 2803], [4291, 3289], [4177, 3323]], [[3767, 2411], [3907, 2318], [3990, 2771], [3837, 2811]], [[3646, 3344], [3773, 3320], [3839, 3597], [3729, 3669]], [[3844, 1563], [4046, 1541], [4144, 2124], [4002, 2126]], [[2319, 2694], [2180, 2685], [2189, 2415], [2306, 2415]]]"
