,contours
20,"[[[3166, 4620], [3043, 4621], [2919, 4207], [3059, 4268]], [[3354, 4654], [3491, 4650], [3576, 4996], [3446, 5011]], [[3769, 4084], [3898, 4078], [3963, 4321], [3824, 4328]], [[2682, 3980], [2467, 3971], [2467, 3752], [2672, 3753]], [[4152, 3808], [4282, 3817], [4344, 4154], [4231, 4176]], [[3921, 4841], [4032, 4811], [4099, 5132], [3970, 5158]], [[3608, 4620], [3738, 4595], [3821, 4873], [3688, 4900]], [[2883, 3328], [2719, 3302], [2640, 2916], [2776, 2921]], [[2167, 2444], [2049, 2377], [2135, 2183], [2310, 2250]], [[2923, 1869], [2776, 1870], [2812, 1628], [2964, 1594]], [[2371, 3671], [2179, 3664], [2300, 3550], [2422, 3559]], [[2412, 1692]]]"
21,"[[[3168, 4625], [3043, 4621], [2919, 4207], [3057, 4268]], [[3354, 4654], [3491, 4650], [3576, 4996], [3446, 5011]], [[3769, 4084], [3898, 4078], [3963, 4321], [3824, 4328]], [[2682, 3980], [2467, 3971], [2467, 3752], [2672, 3753]], [[4152, 3808], [4282, 3817], [4344, 4154], [4231, 4176]], [[3921, 4841], [4032, 4811], [4099, 5132], [3970, 5158]], [[3608, 4620], [3738, 4595], [3821, 4873], [3688, 4900]], [[2883, 3328], [2719, 3302], [2640, 2916], [2776, 2921]], [[2182, 2475], [2058, 2395], [2132, 2183], [2310, 2250]], [[2923, 1869], [2776, 1870], [2812, 1628], [2964, 1594]], [[2373, 3671], [2177, 3665], [2298, 3550], [2422, 3559]], [[2412, 1692]]]"
22,"[[[3173, 4656], [3053, 4658], [2934, 4254], [3063, 4288]], [[4147, 3783], [4274, 3778], [4341, 4123], [4227, 4152]], [[2684, 3997], [2460, 3980], [2453, 3744], [2677, 3769]], [[3766, 4065], [3892, 4058], [3955, 4295], [3813, 4297]], [[3348, 4638], [3489, 4641], [3576, 4991], [3447, 5004]], [[3922, 4845], [4031, 4802], [4091, 5104], [3965, 5134]], [[3607, 4616], [3734, 4586], [3820, 4865], [3687, 4895]], [[2888, 3354], [2721, 3313], [2659, 2948], [2779, 2937]], [[2920, 1870], [2769, 1872], [2826, 1675], [2962, 1616]], [[2175, 2474], [2060, 2411], [2146, 2243], [2327, 2307]], [[2374, 3679], [2182, 3683], [2272, 3553], [2423, 3567]]]"
23,"[[[3175, 4671], [3052, 4674], [2947, 4292], [3077, 4321]], [[4142, 3766], [4269, 3759], [4340, 4104], [4221, 4126]], [[3351, 4638], [3487, 4641], [3572, 4982], [3443, 4993]], [[3763, 4046], [3889, 4032], [3950, 4275], [3803, 4266]], [[3608, 4620], [3730, 4577], [3819, 4860], [3685, 4886]], [[2686, 4013], [2465, 4005], [2454, 3761], [2666, 3770]], [[3916, 4810], [4028, 4782], [4087, 5081], [3959, 5114]], [[2890, 3376], [2732, 3348], [2664, 2981], [2778, 2954]], [[2936, 1907], [2772, 1871], [2819, 1653], [2960, 1617]], [[2175, 2503], [2059, 2378], [2182, 2253], [2347, 2346]]]"
24,"[[[3179, 4697], [3057, 4696], [2952, 4319], [3083, 4342]], [[4132, 3731], [4263, 3721], [4336, 4079], [4217, 4107]], [[3350, 4633], [3487, 4636], [3573, 4977], [3440, 4984]], [[3761, 4033], [3887, 4025], [3944, 4256], [3797, 4250]], [[3605, 4611], [3723, 4560], [3817, 4852], [3684, 4882]], [[2688, 4030], [2465, 4022], [2470, 3794], [2674, 3795]], [[3909, 4783], [4023, 4757], [4085, 5070], [3958, 5102]], [[2891, 3407], [2745, 3387], [2655, 2981], [2787, 2987]], [[2936, 1907], [2779, 1895], [2810, 1628], [2954, 1619]], [[2404, 1774], [2489, 1390]], [[2460, 2572], [2295, 2562], [2329, 2410], [2475, 2389]]]"
25,"[[[4122, 3713], [4258, 3702], [4334, 4060], [4214, 4094]], [[3183, 4723], [3062, 4722], [2955, 4337], [3084, 4363]], [[3340, 4624], [3484, 4627], [3565, 4958], [3441, 4984]], [[3602, 4604], [3719, 4551], [3816, 4848], [3681, 4873]], [[3756, 4020], [3883, 4012], [3938, 4236], [3787, 4221]], [[3907, 4765], [4019, 4737], [4081, 5047], [3954, 5079]], [[2692, 4047], [2469, 4038], [2473, 3811], [2687, 3820]], [[2892, 3428], [2743, 3400], [2673, 3047], [2789, 3019]], [[2460, 2587], [2295, 2578], [2314, 2393], [2490, 2417]], [[2932, 1905], [2775, 1896], [2823, 1652], [2960, 1617]], [[2386, 1749]]]"
26,"[[[3186, 4744], [3067, 4749], [2971, 4383], [3085, 4386]], [[4116, 3696], [4253, 3682], [4332, 4042], [4206, 4061]], [[3600, 4596], [3715, 4543], [3816, 4844], [3680, 4869]], [[3351, 4638], [3492, 4640], [3571, 4962], [3438, 4974]], [[3903, 4752], [4016, 4725], [4077, 5016], [3951, 5048]], [[3753, 3996], [3878, 3985], [3932, 4217], [3785, 4208]], [[2695, 4064], [2474, 4064], [2485, 3844], [2708, 3853]], [[2888, 3438], [2749, 3426], [2670, 3047], [2801, 3052]], [[2465, 2616], [2311, 2606], [2347, 2443], [2511, 2443]], [[2363, 1747], [2478, 1310]], [[2929, 1903], [2779, 1895], [2814, 1653], [2967, 1637]]]"
27,"[[[3186, 4744], [3067, 4749], [2968, 4382], [3085, 4386]], [[4116, 3696], [4253, 3682], [4331, 4042], [4206, 4061]], [[3600, 4596], [3715, 4543], [3815, 4839], [3680, 4864]], [[3351, 4638], [3487, 4636], [3563, 4953], [3435, 4970]], [[3903, 4752], [4016, 4725], [4077, 5016], [3951, 5048]], [[3753, 3996], [3878, 3985], [3932, 4217], [3785, 4208]], [[2695, 4064], [2474, 4064], [2485, 3844], [2708, 3853]], [[2888, 3438], [2749, 3426], [2670, 3047], [2801, 3052]], [[2465, 2616], [2311, 2606], [2347, 2443], [2511, 2443]], [[2361, 1747], [2478, 1310]], [[2929, 1903], [2779, 1895], [2814, 1653], [2967, 1637]]]"
28,"[[[3182, 4750], [3061, 4750], [2973, 4406], [3095, 4408]], [[4105, 3669], [4248, 3654], [4329, 4029], [4203, 4048]], [[3593, 4579], [3707, 4525], [3814, 4835], [3677, 4860]], [[3339, 4613], [3482, 4622], [3562, 4949], [3434, 4965]], [[3893, 4726], [4013, 4705], [4078, 4990], [3950, 5021]], [[3751, 3980], [3877, 3979], [3927, 4197], [3781, 4195]], [[2686, 4064], [2466, 4066], [2501, 3869], [2699, 3861]], [[2893, 3469], [2751, 3464], [2698, 3140], [2817, 3134]], [[2489, 2625], [2324, 2622], [2346, 2474], [2520, 2471]], [[2932, 1905], [2775, 1896], [2808, 1629], [2962, 1616]], [[2366, 1747], [2466, 1340]]]"
29,"[[[3197, 4806], [3083, 4806], [2990, 4445], [3099, 4434]], [[3594, 4578], [3696, 4499], [3813, 4831], [3677, 4855]], [[4092, 3635], [4237, 3615], [4324, 4009], [4200, 4029]], [[3331, 4600], [3480, 4613], [3564, 4948], [3434, 4960]], [[3890, 4700], [4008, 4680], [4072, 4966], [3950, 5000]], [[3745, 3955], [3866, 3941], [3924, 4190], [3782, 4195]], [[2672, 4065], [2455, 4059], [2467, 3861], [2692, 3870]], [[2901, 3504], [2761, 3502], [2693, 3140], [2824, 3165]], [[2379, 3789], [2281, 3674], [2429, 3686]], [[2955, 1953], [2796, 1939], [2840, 1693], [2982, 1633]], [[2501, 2637], [2323, 2637], [2330, 2471], [2505, 2474]], [[2184, 2578], [2053, 2568], [2037, 2245], [2204, 2317]]]"
