,contours
11,"[[[3254, 2635], [3254, 2635], [3254, 2635], [3254, 2635]], [[3150, 4859], [3066, 4848], [3111, 4469], [3227, 4534]], [[2724, 3437], [2845, 3614], [2433, 3635], [2435, 3574]], [[3188, 2574], [3327, 2729], [3103, 3031], [2984, 2895]], [[2690, 2861], [2819, 2968], [2586, 3245], [2483, 3177]], [[3327, 1918], [3449, 1915], [3420, 2232], [3289, 2182]], [[2171, 2488], [2072, 2029]], [[2805, 1678], [2666, 1611], [2668, 1391], [2867, 1426]], [[2629, 1738], [2491, 1720], [2532, 1467], [2666, 1479]]]"
12,"[[[3673, 4083], [3625, 3984], [3792, 3681], [3857, 3809]], [[3141, 4876], [3070, 4875], [3111, 4497], [3216, 4537]], [[2758, 3477], [2859, 3604], [2458, 3634], [2459, 3575]], [[3198, 2606], [3338, 2747], [3119, 3027], [3001, 2898]], [[2698, 2842], [2813, 2935], [2570, 3155], [2470, 3099]], [[3314, 1869], [3445, 1881], [3417, 2148], [3271, 2116]], [[2167, 2444], [2042, 2013]], [[2929, 1974], [2767, 1847], [2889, 1658], [3109, 1817]], [[2616, 1739], [2491, 1720], [2540, 1497], [2681, 1536]], [[3094, 2214], [3250, 2397], [3002, 2512], [2919, 2388]]]"
13,"[[[3139, 4892], [3084, 4927], [3105, 4521], [3223, 4573]], [[3666, 4104], [3610, 4007], [3792, 3700], [3860, 3828]], [[2768, 3477], [2863, 3595], [2457, 3626], [2478, 3568]], [[2721, 2875], [2831, 2933], [2615, 3228], [2516, 3168]], [[3193, 2524], [3322, 2680], [3121, 2999], [3003, 2852]], [[3284, 1805], [3438, 1828], [3427, 2147], [3275, 2098]], [[2625, 1738], [2487, 1720], [2549, 1498], [2676, 1510]], [[2783, 1655], [2640, 1613], [2701, 1483], [2899, 1524]]]"
14,"[[[3139, 4892], [3084, 4927], [3105, 4521], [3223, 4573]], [[3666, 4104], [3610, 4007], [3790, 3700], [3860, 3828]], [[2768, 3477], [2863, 3595], [2457, 3626], [2476, 3568]], [[2721, 2875], [2831, 2933], [2615, 3228], [2516, 3168]], [[3193, 2524], [3322, 2680], [3121, 2999], [3003, 2852]], [[3283, 1805], [3429, 1830], [3426, 2147], [3277, 2098]], [[2625, 1738], [2489, 1720], [2543, 1468], [2676, 1510]], [[2796, 1679], [2650, 1637], [2706, 1509], [2902, 1545]]]"
15,"[[[3142, 4930], [3063, 4925], [3096, 4523], [3225, 4596]], [[3653, 4114], [3594, 4009], [3779, 3711], [3843, 3840]], [[2746, 3400], [2848, 3538], [2478, 3617], [2491, 3553]], [[3200, 2523], [3329, 2664], [3140, 3007], [3035, 2867]], [[2717, 2823], [2845, 2932], [2625, 3227], [2537, 3162]], [[3284, 1805], [3442, 1828], [3428, 2126], [3280, 2098]], [[2643, 1762], [2503, 1745], [2537, 1378], [2692, 1422]], [[2721, 1609], [2653, 1562], [2744, 1558], [2887, 1549]], [[3288, 4857], [3331, 4810], [3545, 5150]]]"
16,"[[[3135, 4930], [3056, 4936], [3091, 4547], [3222, 4617]], [[3644, 4128], [3576, 4019], [3773, 3721], [3837, 3850]], [[2754, 3388], [2869, 3547], [2508, 3624], [2519, 3562]], [[3201, 2523], [3339, 2665], [3146, 2992], [3058, 2878]], [[2724, 2786], [2844, 2899], [2614, 3181], [2523, 3076]], [[3299, 1819], [3459, 1824], [3428, 2107], [3276, 2064]], [[3260, 4806], [3325, 4773], [3537, 5147]], [[2702, 1585], [2614, 1504], [2716, 1454], [2877, 1500]], [[2638, 1763], [2513, 1744], [2530, 1339], [2699, 1394]]]"
17,"[[[3138, 4968], [3086, 4570], [3210, 4635]], [[3633, 4142], [3569, 4047], [3767, 3761], [3830, 3875]], [[2763, 3375], [2880, 3537], [2527, 3613], [2536, 3551]], [[3211, 2523], [3349, 2649], [3154, 2977], [3058, 2868]], [[2753, 2785], [2848, 2882], [2616, 3102], [2526, 3043]], [[3301, 1819], [3470, 1840], [3423, 2091], [3283, 2080]], [[3348, 4974], [3365, 4924], [3507, 5124]], [[2714, 1609], [2616, 1564], [2717, 1509], [2877, 1525]], [[2649, 1762], [2508, 1744], [2533, 1377], [2707, 1453]]]"
18,"[[[3135, 4984], [3090, 4598], [3206, 4646]], [[3615, 4150], [3554, 4063], [3770, 3780], [3832, 3899]], [[3209, 2486], [3343, 2616], [3169, 2975], [3066, 2852]], [[2771, 3376], [2886, 3505], [2555, 3598], [2547, 3524]], [[2741, 2732], [2849, 2848], [2618, 3085], [2532, 3025]], [[4484, 3765], [4431, 3652]], [[2658, 1761], [2508, 1744], [2552, 1409], [2713, 1454]], [[2733, 1683], [2615, 1614], [2734, 1558], [2887, 1593]], [[3297, 4871], [3343, 4838], [3509, 5149]], [[3254, 1775], [3421, 1796], [3428, 2073], [3269, 2031]]]"
19,"[[[3609, 4158], [3542, 4058], [3745, 3763], [3808, 3882]], [[3134, 5001], [3102, 4637], [3199, 4662]], [[2791, 3372], [2911, 3527], [2559, 3613], [2560, 3524]], [[3221, 2511], [3349, 2616], [3170, 2928], [3075, 2844]], [[2760, 2748], [2861, 2847], [2651, 3161], [2576, 3055]], [[4456, 3759], [4418, 3638]], [[2662, 1786], [2505, 1719], [2550, 1379], [2705, 1424]], [[3323, 1833], [3478, 1838], [3436, 2088], [3309, 2076]], [[2679, 1586], [2633, 1535], [2764, 1532], [2840, 1577]]]"
20,"[[[3598, 4172], [3531, 4073], [3733, 3782], [3793, 3898]], [[3073, 4627], [3185, 4674]], [[2816, 3394], [2925, 3515], [2587, 3613], [2568, 3519]], [[3223, 2498], [3354, 2617], [3194, 2964], [3091, 2851]], [[2750, 2696], [2871, 2812], [2638, 3100], [2554, 2990]], [[4438, 3765], [4399, 3624]], [[2636, 1713], [2517, 1719], [2549, 1409], [2712, 1424]], [[2740, 1657], [2643, 1613], [2737, 1558], [2853, 1576]], [[3322, 1779], [3488, 1801], [3426, 2039], [3297, 2026]]]"
21,"[[[3589, 4189], [3512, 4069], [3720, 3782], [3779, 3898]], [[3072, 4660], [3186, 4701]], [[2805, 3315], [2931, 3467], [2590, 3559], [2545, 3436]], [[3229, 2511], [3356, 2600], [3208, 2962], [3093, 2831]], [[2770, 2766], [2888, 2846], [2668, 3128], [2563, 3039]], [[4425, 3799], [4391, 3654]], [[3208, 1490], [3358, 1549], [3424, 1988], [3270, 1962]], [[2625, 1714], [2521, 1719], [2552, 1409], [2716, 1425]], [[2731, 1658], [2664, 1637], [2759, 1606], [2860, 1600]]]"
22,"[[[3589, 4189], [3512, 4069], [3720, 3782], [3779, 3898]], [[3072, 4660], [3186, 4701]], [[2805, 3315], [2931, 3467], [2590, 3559], [2544, 3436]], [[3229, 2511], [3356, 2600], [3208, 2962], [3093, 2831]], [[2770, 2766], [2888, 2846], [2668, 3128], [2563, 3039]], [[4427, 3799], [4392, 3664]], [[3208, 1490], [3364, 1580], [3424, 1988], [3270, 1962]], [[2625, 1714], [2519, 1719], [2556, 1410], [2719, 1425]], [[2729, 1658], [2664, 1637], [2763, 1606], [2860, 1600]]]"
23,"[[[3576, 4191], [3498, 4073], [3714, 3790], [3776, 3915]], [[3063, 4668], [3184, 4712]], [[2816, 3318], [2939, 3443], [2604, 3571], [2558, 3456]], [[3234, 2485], [3363, 2601], [3191, 2881], [3097, 2828]], [[2783, 2765], [2894, 2832], [2688, 3141], [2578, 3072]], [[4415, 3825], [4388, 3672]], [[3302, 1735], [3467, 1746], [3450, 2069], [3295, 2027]], [[2884, 1776], [2702, 1709], [2847, 1552], [3066, 1592]], [[2645, 1737], [2521, 1719], [2569, 1440], [2733, 1483]]]"
24,"[[[3064, 4700], [3183, 4734]], [[3567, 4207], [3501, 4110], [3715, 3831], [3776, 3948]], [[2846, 3358], [2969, 3466], [2645, 3611], [2607, 3514]], [[3242, 2498], [3370, 2585], [3216, 2916], [3080, 2772]], [[2796, 2746], [2904, 2820], [2689, 3109], [2578, 3021]], [[4401, 3822], [4375, 3661]], [[2869, 1753], [2713, 1709], [2858, 1576], [3062, 1593]], [[3308, 1733], [3484, 1784], [3442, 2053], [3295, 2027]], [[2665, 1761], [2524, 1744], [2564, 1381], [2725, 1426]]]"
25,"[[[3056, 4707], [3177, 4751]], [[3558, 4211], [3501, 4111], [3682, 3827], [3738, 3914]], [[3242, 2473], [3372, 2567], [3222, 2884], [3103, 2801]], [[2821, 3254], [2962, 3417], [2632, 3559], [2572, 3431]], [[2799, 2728], [2920, 2837], [2706, 3107], [2602, 3036]], [[4386, 3800], [4361, 3676]], [[3317, 1730], [3489, 1765], [3445, 2036], [3306, 2025]], [[2859, 1805], [2717, 1708], [2886, 1571], [3062, 1619]], [[2682, 1685], [2612, 1714], [2585, 1501], [2747, 1457]]]"
26,"[[[3546, 4226], [3505, 4168], [3682, 3844], [3743, 3947]], [[3058, 4745], [3181, 4782]], [[3244, 2460], [3360, 2529], [3228, 2868], [3101, 2776]], [[2804, 3190], [2974, 3380], [2651, 3571], [2571, 3408]], [[4376, 3826], [4354, 3702]], [[2818, 2745], [2937, 2855], [2733, 3180], [2596, 3120]], [[3325, 1728], [3484, 1707], [3447, 2018], [3312, 2007]], [[2872, 1778], [2724, 1708], [2814, 1375], [3002, 1430]], [[2693, 1685], [2581, 1691], [2574, 1471], [2749, 1457]]]"
27,"[[[3072, 2892], [3072, 2892], [3072, 2892], [3072, 2892]], [[3255, 2472], [3364, 2530], [3251, 2900], [3118, 2771]], [[3051, 4757], [3179, 4804]], [[2821, 3188], [2994, 3377], [2653, 3548], [2581, 3384]], [[4367, 3769], [4340, 3654]], [[3338, 1723], [3493, 1671], [3444, 1985], [3313, 1990]], [[2787, 2641], [2940, 2792], [2704, 3044], [2603, 2952]], [[2904, 1847], [2747, 1805], [2897, 1656], [3079, 1768]], [[2652, 1762], [2512, 1719], [2561, 1410], [2720, 1455]], [[2043, 3516], [2004, 3308]]]"
28,"[[[3072, 2892], [3072, 2892], [3072, 2892], [3072, 2892]], [[3255, 2472], [3364, 2530], [3251, 2900], [3118, 2771]], [[3051, 4757], [3179, 4804]], [[2819, 3188], [2994, 3377], [2651, 3548], [2586, 3394]], [[4367, 3769], [4336, 3644]], [[3338, 1723], [3493, 1671], [3444, 1985], [3313, 1990]], [[2787, 2641], [2940, 2792], [2704, 3044], [2611, 2969]], [[2904, 1847], [2747, 1805], [2895, 1656], [3079, 1768]], [[2652, 1762], [2515, 1719], [2558, 1410], [2718, 1455]], [[2031, 3489]], [[2452, 1696]]]"
29,"[[[3525, 4241], [3485, 4182], [3663, 3862], [3722, 3963]], [[3260, 2460], [3377, 2532], [3261, 2885], [3122, 2754]], [[3030, 4770], [3174, 4821]], [[2839, 3210], [2998, 3354], [2668, 3560], [2604, 3413]], [[4353, 3849], [4344, 3728]], [[2820, 2690], [2954, 2797], [2727, 3058], [2635, 2966]], [[3315, 1631], [3482, 1641], [3442, 1968], [3302, 1957]], [[2066, 3470]], [[2872, 1778], [2683, 1735], [2810, 1628], [2915, 1651]], [[2893, 1749], [2826, 1719], [2956, 1552], [3091, 1538]], [[2645, 1712], [2500, 1695], [2562, 1351], [2714, 1425]]]"
