,contours
10,"[[[3122, 4504], [2985, 4483], [3064, 4202], [3203, 4214]], [[3369, 5030], [3244, 5002], [3273, 4630], [3413, 4660]], [[3589, 5117], [3722, 5134]], [[3555, 4591], [3687, 4583], [3705, 4953], [3581, 4960]], [[3824, 4768], [3953, 4779], [3965, 5124], [3837, 5134]], [[4064, 4694], [4186, 4668], [4202, 4977], [4073, 4984]], [[3414, 4216], [3299, 4161], [3432, 3937], [3542, 3987]], [[3775, 3724], [3714, 3646], [3912, 3298], [3996, 3377]], [[4295, 4743], [4431, 4690], [4303, 5055]], [[2817, 2584], [2893, 2677], [2606, 2787], [2533, 2722]], [[3287, 3704], [3189, 3613], [3350, 3427], [3460, 3508]], [[3812, 3170], [3808, 3092], [4036, 2995], [4079, 3037]], [[2442, 1001], [2210, 937]], [[3314, 1650], [3413, 1707], [3346, 2004], [3226, 1929]]]"
11,"[[[3369, 5046], [3245, 5019], [3270, 4636], [3408, 4676]], [[3117, 4510], [2982, 4495], [3063, 4218], [3205, 4237]], [[3589, 5117], [3724, 5137]], [[3558, 4590], [3688, 4588], [3705, 4953], [3581, 4960]], [[3824, 4768], [3953, 4779], [3966, 5124], [3837, 5134]], [[4063, 4687], [4186, 4668], [4202, 4977], [4073, 4984]], [[3409, 4224], [3289, 4173], [3423, 3922], [3541, 3983]], [[3767, 3729], [3695, 3634], [3906, 3337], [3987, 3394]], [[4295, 4743], [4431, 4690], [4303, 5055]], [[2829, 2552], [2897, 2629], [2617, 2770], [2558, 2672]], [[3270, 3707], [3183, 3614], [3347, 3454], [3446, 3508]], [[3318, 1650], [3418, 1703], [3356, 2005], [3239, 1923]], [[2433, 968], [2213, 937]], [[3772, 3194], [3778, 3113], [4017, 3006], [4063, 3085]]]"
12,"[[[3116, 4520], [2977, 4505], [3052, 4219], [3201, 4252]], [[3368, 5064], [3246, 5036], [3268, 4653], [3404, 4687]], [[3589, 5117], [3723, 5134]], [[3558, 4590], [3687, 4588], [3705, 4953], [3581, 4960]], [[3822, 4754], [3953, 4776], [3965, 5124], [3836, 5135]], [[3404, 4242], [3287, 4181], [3406, 3912], [3528, 3989]], [[4064, 4687], [4186, 4668], [4202, 4977], [4073, 4984]], [[3757, 3747], [3694, 3685], [3902, 3339], [3980, 3398]], [[4294, 4743], [4431, 4686], [4302, 5059]], [[2842, 2550], [2914, 2647], [2636, 2767], [2567, 2670]], [[3777, 3153], [3782, 3072], [4009, 2996], [4050, 3061]], [[3267, 3735], [3187, 3622], [3338, 3465], [3449, 3536]], [[3320, 1627], [3419, 1680], [3362, 1990], [3245, 1919]], [[2436, 968], [2218, 937]]]"
13,"[[[3589, 5117], [3721, 5131]], [[3112, 4531], [2975, 4515], [3057, 4258], [3197, 4266]], [[3368, 5080], [3245, 5057], [3267, 4681], [3403, 4708]], [[3558, 4590], [3685, 4583], [3704, 4949], [3581, 4960]], [[3823, 4767], [3953, 4779], [3965, 5124], [3836, 5135]], [[3398, 4268], [3283, 4199], [3389, 3903], [3512, 3986]], [[4064, 4687], [4186, 4668], [4202, 4977], [4074, 4984]], [[4295, 4746], [4431, 4690], [4302, 5059]], [[3748, 3773], [3688, 3686], [3878, 3291], [3974, 3402]], [[2855, 2548], [2927, 2633], [2651, 2764], [2581, 2668]], [[3263, 3748], [3177, 3633], [3320, 3461], [3438, 3549]], [[3769, 3182], [3773, 3114], [3994, 3019], [4041, 3061]], [[2428, 968], [2224, 970]], [[3320, 1581], [3423, 1636], [3368, 1975], [3237, 1881]]]"
14,"[[[3589, 5117], [3721, 5131]], [[3112, 4531], [2975, 4515], [3057, 4258], [3197, 4266]], [[3368, 5080], [3245, 5057], [3267, 4681], [3403, 4708]], [[3558, 4590], [3685, 4583], [3704, 4949], [3581, 4960]], [[3823, 4767], [3953, 4779], [3965, 5124], [3836, 5135]], [[3398, 4268], [3283, 4199], [3389, 3903], [3512, 3986]], [[4064, 4687], [4186, 4668], [4202, 4977], [4074, 4984]], [[4295, 4746], [4431, 4690], [4302, 5059]], [[3748, 3773], [3688, 3686], [3880, 3291], [3975, 3401]], [[2853, 2548], [2929, 2634], [2649, 2765], [2581, 2668]], [[3263, 3748], [3177, 3633], [3320, 3461], [3438, 3549]], [[3769, 3182], [3773, 3114], [3994, 3019], [4041, 3061]], [[2428, 968], [2218, 937]], [[3320, 1581], [3423, 1636], [3368, 1975], [3237, 1881]]]"
15,"[[[3587, 5105], [3721, 5131]], [[3555, 4591], [3688, 4588], [3704, 4949], [3581, 4960]], [[3367, 5098], [3244, 5070], [3264, 4692], [3401, 4724]], [[3112, 4547], [2976, 4531], [3053, 4266], [3188, 4279]], [[3820, 4753], [3953, 4776], [3965, 5124], [3837, 5134]], [[3408, 4271], [3277, 4178], [3374, 3960], [3451, 3995]], [[4063, 4687], [4186, 4675], [4202, 4977], [4074, 4984]], [[4295, 4743], [4430, 4691], [4304, 5055]], [[3740, 3758], [3672, 3671], [3868, 3306], [3964, 3420]], [[3245, 3720], [3171, 3625], [3314, 3479], [3429, 3565]], [[2861, 2517], [2942, 2635], [2661, 2747], [2594, 2666]], [[3760, 3171], [3764, 3104], [3983, 3008], [4033, 3062]], [[2432, 1001], [2238, 1003]], [[3335, 1559], [3417, 1588], [3363, 1938], [3235, 1846]]]"
16,"[[[3589, 5117], [3722, 5134]], [[3365, 5115], [3242, 5087], [3262, 4709], [3396, 4740]], [[3115, 4569], [2978, 4547], [3044, 4282], [3181, 4292]], [[3559, 4590], [3687, 4588], [3705, 4953], [3582, 4960]], [[3820, 4753], [3952, 4776], [3965, 5124], [3836, 5135]], [[3415, 4323], [3280, 4239], [3384, 3990], [3462, 4017]], [[4064, 4687], [4186, 4668], [4202, 4977], [4074, 4984]], [[4295, 4746], [4430, 4691], [4304, 5059]], [[3730, 3796], [3670, 3725], [3860, 3307], [3959, 3423]], [[2889, 2543], [2964, 2618], [2674, 2730], [2603, 2664]], [[3243, 3764], [3170, 3653], [3300, 3488], [3424, 3607]], [[3722, 3346], [3707, 3238], [3954, 3044], [4024, 3144]], [[2439, 1001], [2229, 970]], [[3333, 1465], [3410, 1519], [3370, 1931], [3245, 1846]]]"
17,"[[[3365, 5136], [3241, 5108], [3261, 4731], [3394, 4761]], [[3592, 5117], [3723, 5134]], [[3116, 4591], [2985, 4574], [3050, 4313], [3184, 4323]], [[3559, 4590], [3687, 4588], [3705, 4953], [3582, 4960]], [[3819, 4753], [3953, 4776], [3966, 5127], [3836, 5135]], [[4061, 4679], [4186, 4675], [4202, 4981], [4073, 4989]], [[3398, 4315], [3277, 4264], [3375, 3978], [3450, 4017]], [[3720, 3813], [3662, 3744], [3855, 3333], [3951, 3438]], [[4294, 4746], [4431, 4686], [4302, 5059]], [[2888, 2509], [2970, 2602], [2691, 2727], [2624, 2661]], [[3218, 3731], [3157, 3647], [3295, 3491], [3410, 3589]], [[3710, 3289], [3710, 3184], [3951, 3021], [4007, 3110]], [[4555, 3178], [4508, 3164], [4576, 2967]], [[2429, 1001], [2227, 970]]]"
18,"[[[3110, 4596], [2973, 4579], [3049, 4329], [3185, 4331]], [[3364, 5154], [3237, 5126], [3257, 4748], [3391, 4783]], [[3592, 5117], [3723, 5134]], [[3557, 4596], [3690, 4593], [3705, 4953], [3582, 4960]], [[3408, 4349], [3276, 4287], [3381, 4023], [3462, 4039]], [[3823, 4767], [3952, 4776], [3967, 5127], [3836, 5135]], [[4062, 4695], [4186, 4675], [4202, 4977], [4073, 4989]], [[3711, 3829], [3649, 3746], [3868, 3427], [3948, 3462]], [[4294, 4743], [4432, 4681], [4302, 5059]], [[2898, 2496], [2974, 2585], [2700, 2710], [2632, 2644]], [[3198, 3722], [3128, 3646], [3282, 3489], [3399, 3591]], [[4471, 3104], [4536, 2940]], [[3705, 3238], [3712, 3158], [3932, 3044], [3977, 3111]], [[2423, 968], [2227, 970]]]"
19,"[[[3110, 4596], [2973, 4579], [3049, 4329], [3185, 4331]], [[3364, 5154], [3238, 5126], [3257, 4748], [3391, 4783]], [[3589, 5104], [3724, 5134]], [[3556, 4590], [3690, 4593], [3705, 4953], [3582, 4960]], [[3408, 4349], [3276, 4287], [3383, 4024], [3462, 4039]], [[3819, 4753], [3952, 4776], [3967, 5127], [3836, 5135]], [[4064, 4694], [4187, 4675], [4202, 4977], [4074, 4989]], [[3711, 3819], [3649, 3746], [3866, 3417], [3948, 3462]], [[4297, 4743], [4432, 4681], [4302, 5059]], [[2894, 2495], [2974, 2585], [2700, 2710], [2632, 2644]], [[3198, 3722], [3128, 3646], [3282, 3489], [3399, 3591]], [[4471, 3104], [4536, 2940]], [[3704, 3239], [3710, 3158], [3931, 3045], [3977, 3111]], [[2423, 968], [2229, 970]]]"
