,contours
10,"[[[4082, 5067], [4220, 5013]], [[3951, 2772], [3902, 2965], [3715, 2657], [3873, 2396]], [[2816, 3570], [2926, 3530], [3149, 3878], [3078, 3975]], [[3330, 3830], [3434, 3750], [3575, 4094], [3468, 4122]], [[3647, 4860], [3776, 4829], [3778, 5178], [3635, 5200]], [[4468, 3594]], [[3846, 5053], [3990, 4984]], [[3375, 4553], [3469, 4509], [3516, 4862], [3396, 4895]], [[2651, 3161], [2726, 3090], [3001, 3334], [2941, 3397]], [[2774, 1519], [2652, 1593]], [[3018, 1316], [2886, 1446], [3024, 920]], [[3550, 1834], [3411, 2004], [3355, 1538], [3501, 1424]]]"
11,"[[[4081, 5067], [4219, 5010]], [[2800, 3560], [2902, 3488], [3144, 3871], [3072, 3968]], [[3954, 2783], [3913, 2970], [3719, 2653], [3882, 2345]], [[3319, 3819], [3426, 3722], [3569, 4071], [3466, 4108]], [[3647, 4852], [3774, 4819], [3778, 5169], [3635, 5187]], [[3849, 5058], [3989, 4988]], [[4488, 3599]], [[3378, 4548], [3469, 4497], [3514, 4857], [3396, 4885]], [[2634, 3151], [2695, 3037], [3000, 3345], [2940, 3408]], [[2778, 1515], [2652, 1593]], [[3019, 1350], [2886, 1446]]]"
12,"[[[4079, 5064], [4217, 5007]], [[2787, 3550], [2895, 3488], [3137, 3863], [3062, 3951]], [[3972, 2770], [3919, 2964], [3731, 2689], [3892, 2415]], [[3310, 3805], [3414, 3685], [3556, 4046], [3443, 4093]], [[3647, 4821], [3773, 4793], [3778, 5157], [3635, 5175]], [[3846, 5059], [3989, 4977]], [[4508, 3605]], [[3370, 4551], [3463, 4502], [3514, 4854], [3397, 4875]], [[2624, 3151], [2682, 3037], [2989, 3332], [2930, 3398]], [[2774, 1519], [2650, 1594]], [[3016, 1319], [2884, 1448], [3024, 920]]]"
13,"[[[4079, 5060], [4217, 5007]], [[2787, 3550], [2895, 3488], [3137, 3863], [3062, 3951]], [[3966, 2787], [3923, 2978], [3731, 2689], [3892, 2415]], [[3310, 3805], [3417, 3717], [3556, 4046], [3443, 4093]], [[3648, 4821], [3773, 4788], [3778, 5157], [3635, 5175]], [[3846, 5059], [3989, 4992]], [[4508, 3605]], [[3370, 4551], [3464, 4508], [3514, 4854], [3397, 4880]], [[2624, 3151], [2682, 3037], [2989, 3332], [2930, 3398]], [[2774, 1519], [2650, 1594]], [[3014, 1321], [2884, 1448], [3024, 920]]]"
14,"[[[4078, 5057], [4216, 5004]], [[2771, 3528], [2875, 3456], [3125, 3838], [3053, 3935]], [[3306, 3819], [3412, 3722], [3543, 4039], [3442, 4092]], [[3644, 4810], [3770, 4779], [3776, 5137], [3633, 5157]], [[3972, 2796], [3939, 2996], [3740, 2696], [3894, 2441]], [[3848, 5055], [3989, 4984]], [[4522, 3638]], [[3369, 4534], [3456, 4483], [3513, 4845], [3394, 4867]], [[2608, 3141], [2669, 3038], [2962, 3286], [2901, 3355]], [[3018, 1316], [2886, 1446]], [[2776, 1517], [2648, 1574]]]"
15,"[[[4078, 5057], [4215, 5004]], [[3300, 3835], [3404, 3739], [3522, 4020], [3438, 4082]], [[2762, 3518], [2861, 3435], [3117, 3831], [3045, 3928]], [[3643, 4780], [3769, 4758], [3774, 5126], [3632, 5145]], [[3984, 2800], [3951, 3001], [3747, 2705], [3908, 2431]], [[3846, 5056], [3988, 4974]], [[4538, 3654]], [[3371, 4519], [3455, 4458], [3510, 4829], [3391, 4852]], [[2591, 3131], [2664, 3049], [2942, 3276], [2885, 3345]], [[2775, 1548], [2643, 1550]], [[3008, 1264], [2883, 1387]]]"
16,"[[[4077, 5053], [4215, 5000]], [[3999, 2790], [3956, 2996], [3756, 2727], [3900, 2477]], [[3289, 3823], [3393, 3713], [3511, 4005], [3434, 4057]], [[2746, 3486], [2846, 3414], [3108, 3814], [3033, 3903]], [[3643, 4761], [3770, 4747], [3774, 5116], [3631, 5136]], [[3846, 5056], [3986, 4985]], [[4552, 3678]], [[3366, 4502], [3455, 4446], [3505, 4795], [3386, 4827]], [[2585, 3109], [2669, 3060], [2937, 3287], [2871, 3346]], [[3014, 1287], [2884, 1418]], [[2775, 1548], [2650, 1594]]]"
17,"[[[4078, 5053], [4212, 4998]], [[4000, 2815], [3972, 3014], [3765, 2745], [3917, 2452]], [[2737, 3475], [2837, 3403], [3097, 3798], [3026, 3895]], [[3281, 3819], [3388, 3717], [3505, 3987], [3431, 4056]], [[3641, 4756], [3768, 4737], [3773, 5104], [3631, 5127]], [[3846, 5053], [3989, 4984]], [[3365, 4515], [3450, 4464], [3503, 4773], [3380, 4801]], [[4570, 3709]], [[2575, 3121], [2647, 3028], [2924, 3266], [2862, 3336]], [[2770, 1524]], [[2985, 1392], [2881, 1389]]]"
18,"[[[4078, 5053], [4212, 4998]], [[4000, 2815], [3972, 3014], [3765, 2745], [3917, 2452]], [[2735, 3475], [2837, 3403], [3100, 3807], [3028, 3905]], [[3281, 3819], [3388, 3717], [3505, 3987], [3431, 4056]], [[3641, 4756], [3768, 4737], [3773, 5104], [3631, 5127]], [[3846, 5053], [3986, 4982]], [[3364, 4515], [3450, 4464], [3503, 4773], [3380, 4801]], [[4570, 3709]], [[2575, 3121], [2647, 3028], [2927, 3277], [2862, 3336]], [[2770, 1524]], [[2986, 1390], [2879, 1392]]]"
19,"[[[4077, 5046], [4213, 4993]], [[4008, 2851], [3989, 3044], [3774, 2739], [3930, 2457]], [[3271, 3806], [3377, 3715], [3501, 3980], [3433, 4040]], [[2720, 3454], [2816, 3382], [3089, 3792], [3019, 3888]], [[3640, 4738], [3768, 4727], [3774, 5095], [3630, 5116]], [[3843, 5055], [3986, 4985]], [[3357, 4451], [3439, 4406], [3500, 4756], [3378, 4791]], [[4595, 3714]], [[2572, 3143], [2670, 3093], [2913, 3266], [2851, 3325]], [[2770, 1524]], [[2985, 1392], [2881, 1389]]]"
