,contours
12,"[[[3561, 4896]], [[2416, 3667], [2510, 3600], [2694, 3835], [2608, 3917]], [[2873, 4531], [3037, 4492], [3119, 4797], [2983, 4824]], [[3795, 3190], [3738, 3373], [3484, 3194], [3602, 2967]], [[3611, 2629], [3592, 2784], [3343, 2600], [3456, 2437]], [[3979, 3059], [4034, 2900]], [[3157, 2612], [3065, 2725], [2911, 2416], [3019, 2345]], [[2664, 1555], [2512, 1544]]]"
13,"[[[3561, 4896]], [[2868, 4523], [3030, 4471], [3114, 4773], [2978, 4797]], [[2410, 3659], [2497, 3586], [2688, 3824], [2601, 3907]], [[3821, 3183], [3761, 3375], [3492, 3193], [3594, 2980]], [[3633, 2616], [3610, 2778], [3364, 2607], [3466, 2434]], [[3997, 3053], [4046, 2828]], [[3164, 2633], [3085, 2750], [2917, 2438], [3022, 2334]]]"
14,"[[[3561, 4896]], [[2868, 4523], [3030, 4471], [3114, 4773], [2979, 4800]], [[2410, 3659], [2497, 3586], [2688, 3824], [2601, 3907]], [[3821, 3183], [3761, 3375], [3492, 3193], [3594, 2980]], [[3633, 2616], [3610, 2778], [3364, 2607], [3466, 2434]], [[3997, 3053], [4046, 2828]], [[3164, 2633], [3085, 2750], [2917, 2438], [3022, 2334]], [[4062, 2220]]]"
15,"[[[3561, 4896]], [[2859, 4494], [3024, 4459], [3108, 4756], [2977, 4783]], [[2398, 3626], [2477, 3549], [2675, 3809], [2586, 3884]], [[3653, 2635], [3629, 2799], [3373, 2619], [3473, 2467]], [[3824, 3208], [3759, 3410], [3504, 3210], [3649, 2950]], [[4002, 3087], [4067, 2877]], [[3179, 2655], [3097, 2760], [2927, 2505], [3037, 2352]], [[4028, 2138]], [[2826, 1614], [2686, 1642]]]"
16,"[[[3561, 4896]], [[2847, 4489], [3018, 4452], [3101, 4729], [2972, 4756]], [[2390, 3619], [2467, 3542], [2669, 3811], [2581, 3878]], [[3844, 3145], [3780, 3362], [3513, 3226], [3637, 3001]], [[3666, 2643], [3645, 2806], [3382, 2632], [3482, 2465]], [[3188, 2665], [3096, 2789], [2936, 2528], [3040, 2349]], [[4027, 3073], [4077, 2868]]]"
17,"[[[3561, 4896]], [[2839, 4483], [3013, 4439], [3097, 4708], [2968, 4740]], [[2382, 3612], [2455, 3537], [2662, 3800], [2573, 3873]], [[3873, 3183], [3815, 3362], [3515, 3210], [3627, 3029]], [[3670, 2671], [3662, 2827], [3390, 2661], [3489, 2483]], [[3198, 2686], [3098, 2855], [2938, 2528], [3045, 2352]], [[4039, 3080]], [[4019, 1954]], [[2512, 1544]], [[2830, 1673], [2681, 1685]]]"
18,"[[[3566, 4897]], [[2833, 4462], [3008, 4427], [3099, 4715], [2969, 4750]], [[2369, 3588], [2441, 3514], [2648, 3771], [2565, 3860]], [[3887, 3198], [3827, 3376], [3521, 3226], [3636, 3053]], [[3212, 2686], [3102, 2854], [2957, 2594], [3049, 2455]], [[3687, 2706], [3681, 2861], [3400, 2673], [3501, 2493]], [[4004, 3142]], [[4066, 2172]], [[2827, 1651], [2683, 1707]]]"
19,"[[[3564, 4897]], [[2833, 4462], [3008, 4427], [3100, 4715], [2968, 4747]], [[2371, 3596], [2444, 3522], [2650, 3779], [2567, 3867]], [[3886, 3178], [3825, 3368], [3521, 3235], [3638, 3052]], [[3214, 2697], [3102, 2854], [2957, 2594], [3046, 2426]], [[3687, 2706], [3681, 2861], [3399, 2673], [3501, 2493]], [[4004, 3151]], [[4048, 2139]], [[2827, 1651], [2682, 1685]]]"
20,"[[[3561, 4896]], [[2826, 4446], [3001, 4405], [3095, 4694], [2964, 4723]], [[2358, 3572], [2430, 3500], [2637, 3756], [2556, 3846]], [[3864, 3214], [3806, 3415], [3538, 3274], [3679, 3056]], [[3224, 2718], [3116, 2874], [2954, 2572], [3057, 2441]], [[4011, 3149]], [[3712, 2692], [3701, 2854], [3409, 2652], [3511, 2488]], [[4039, 2160]], [[2828, 1674], [2687, 1707]]]"
21,"[[[3561, 4896]], [[2823, 4430], [2995, 4403], [3088, 4674], [2960, 4707]], [[3916, 3185], [3860, 3384], [3570, 3241], [3685, 3055]], [[2336, 3565], [2416, 3504], [2622, 3741], [2538, 3826]], [[3240, 2749], [3138, 2913], [2969, 2581], [3070, 2436]], [[3758, 2726], [3727, 2908], [3420, 2664], [3531, 2484]], [[4033, 3188]], [[2831, 1719], [2696, 1748]], [[3144, 1775], [3007, 1852]]]"
22,"[[[3561, 4896]], [[2823, 4430], [2995, 4403], [3089, 4677], [2960, 4707]], [[3916, 3185], [3859, 3385], [3570, 3241], [3685, 3055]], [[2336, 3565], [2416, 3504], [2622, 3741], [2538, 3826]], [[3240, 2749], [3138, 2913], [2969, 2581], [3070, 2436]], [[3758, 2726], [3727, 2908], [3420, 2664], [3531, 2484]], [[4033, 3188]], [[2831, 1719], [2696, 1748]], [[3144, 1775], [3007, 1852]]]"
23,"[[[3561, 4896]], [[2817, 4414], [2988, 4382], [3083, 4657], [2957, 4694]], [[3939, 3217], [3878, 3397], [3568, 3241], [3684, 3080]], [[2321, 3548], [2380, 3491], [2606, 3718], [2528, 3811]], [[3765, 2752], [3732, 2931], [3437, 2705], [3542, 2524]], [[4052, 3126]], [[3253, 2772], [3148, 2933], [2977, 2591], [3083, 2450]], [[2833, 1788], [2704, 1785]]]"
24,"[[[3561, 4896]], [[2811, 4393], [2978, 4362], [3079, 4644], [2954, 4677]], [[2307, 3548], [2383, 3495], [2600, 3720], [2521, 3813]], [[3788, 2732], [3752, 2911], [3445, 2702], [3550, 2520]], [[3950, 3212], [3891, 3403], [3591, 3260], [3708, 3088]], [[3260, 2798], [3160, 2952], [2983, 2612], [3090, 2466]], [[4060, 3159]], [[2831, 1813], [2711, 1802]]]"
25,"[[[3561, 4896]], [[2290, 3540], [2365, 3496], [2592, 3713], [2511, 3799]], [[2806, 4378], [2972, 4348], [3075, 4634], [2952, 4671]], [[3970, 3213], [3908, 3390], [3603, 3240], [3724, 3057]], [[3263, 2798], [3170, 2964], [2992, 2622], [3098, 2500]], [[3818, 2787], [3755, 2959], [3455, 2713], [3566, 2529]], [[4067, 3141]], [[2837, 1809], [2701, 1831]], [[3160, 1877], [3029, 1988], [2983, 1625], [3127, 1582]]]"
26,"[[[3561, 4896]], [[2290, 3540], [2365, 3496], [2592, 3713], [2511, 3799]], [[2806, 4367], [2972, 4348], [3075, 4634], [2952, 4671]], [[3970, 3213], [3908, 3390], [3603, 3240], [3724, 3057]], [[3263, 2798], [3170, 2964], [2992, 2622], [3098, 2500]], [[3818, 2787], [3755, 2959], [3455, 2713], [3566, 2529]], [[4068, 3141]], [[2837, 1809], [2701, 1831]], [[3160, 1877], [3027, 1959], [2983, 1625], [3127, 1582]]]"
27,"[[[3561, 4896]], [[2359, 3499], [2586, 3705], [2507, 3800]], [[2801, 4357], [2962, 4318], [3073, 4631], [2950, 4668]], [[3979, 3220], [3925, 3386], [3625, 3250], [3732, 3078]], [[3263, 2826], [3184, 3003], [3003, 2643], [3106, 2497]], [[3830, 2750], [3770, 2941], [3470, 2736], [3571, 2543]], [[2506, 1546]], [[2842, 1832], [2699, 1833], [2724, 1542], [2842, 1529]], [[3171, 1864], [3046, 1983], [2977, 1593], [3099, 1557]]]"
28,"[[[3561, 4896]], [[2340, 3459], [2572, 3681], [2494, 3778]], [[2799, 4352], [2963, 4324], [3067, 4618], [2947, 4655]], [[3988, 3237], [3937, 3391], [3650, 3251], [3740, 3088]], [[3850, 2771], [3784, 2948], [3490, 2754], [3586, 2567]], [[3272, 2862], [3189, 3002], [3019, 2663], [3122, 2537]], [[2847, 1852], [2702, 1852], [2710, 1545], [2840, 1530]], [[3165, 1851], [3032, 1928], [2986, 1607], [3111, 1569]]]"
29,"[[[3561, 4896]], [[2335, 3447], [2560, 3676], [2483, 3764]], [[2794, 4336], [2946, 4287], [3064, 4604], [2946, 4648]], [[3278, 2878], [3199, 3028], [3031, 2673], [3129, 2548]], [[3894, 2822], [3786, 3021], [3517, 2785], [3605, 2587]], [[4020, 3193], [3949, 3380], [3661, 3257], [3758, 3056]], [[2852, 1872], [2707, 1888], [2696, 1565], [2837, 1547]], [[3183, 1930], [3050, 2011], [2988, 1625], [3111, 1584]], [[2354, 1550]]]"
