,img_location_x,img_location_y
0,2862.143201,4612.606273
1,2904.159608,4614.222289
2,2929.177817,4613.202841
3,2969.584239,4614.010969
4,2997.060606,4614.010969
5,3038.275156,4614.010969
6,3060.094624,4613.202841
7,3101.309175,4613.202841
8,3123.128643,4612.394712
9,3164.343193,4612.394712
10,3186.162661,4613.202841
11,3226.569083,4612.394712
12,3246.772294,4612.394712
13,3288.794973,4613.202841
14,3316.27134,4611.586584
15,3357.485891,4610.778455
16,3387.386643,4611.586584
17,3428.601194,4611.586584
18,3463.350717,4610.778455
19,3504.696417,4609.759664
20,3534.789308,4609.759664
21,3575.22663,4610.700067
22,3606.259924,4609.759664
23,3648.578052,4610.700067
24,3679.611346,4608.819261
25,3720.048669,4606.938456
26,3743.55874,4608.819261
27,3784.936465,4608.819261
28,3818.790968,4610.700067
29,3858.287887,4609.759664
30,3886.499973,4607.878859
31,3926.937295,4607.878859
32,3956.089783,4606.938456
33,3995.586703,4607.878859
34,4023.798788,4605.998053
35,4064.236111,4606.938456
36,4094.329002,4605.998053
37,4135.706727,4605.998053
38,4166.263217,4604.712302
39,4208.421276,4605.692722
40,4237.833876,4605.692722
41,4279.011515,4606.673142
42,4308.424115,4604.712302
43,4347.640915,4605.692722
44,4379.014354,4604.712302
45,4418.231154,4604.712302
46,4455.487113,4603.731882
47,4496.664753,4603.731882
48,4528.038193,4604.712302
49,4569.215832,4603.731882
50,4579.020032,4989.036938
51,4539.412865,4989.563964
52,4502.196923,4990.764478
53,4462.579952,4989.563964
54,4431.366581,4990.764478
55,4391.74961,4990.764478
56,4362.937267,4991.964992
57,4323.320296,4990.764478
58,4289.705897,4990.764478
59,4251.28944,4990.764478
60,4218.875555,4990.764478
61,4178.058069,4989.563964
62,4148.045213,4989.563964
63,4108.428242,4990.764478
64,4081.127346,4992.292733
65,4041.110204,4993.293161
66,4011.097347,4994.29359
67,3971.080205,4993.293161
68,3943.068205,4995.294018
69,3904.051491,4995.294018
70,3869.036492,4995.294018
71,3829.019349,4994.29359
72,3804.008635,4993.293161
73,3764.17057,4994.305995
74,3731.67665,4995.426475
75,3691.33937,4995.426475
76,3659.965931,4996.546955
77,3619.628651,4996.546955
78,3589.375691,4998.787915
79,3547.917932,4996.546955
80,3512.062572,4996.546955
81,3656.751754,5109.367285
82,3672.878662,5109.367285
83,3708.854073,5268.155306
84,3916.02282,5111.848347
85,3938.352385,5211.090861
86,3956.960356,5286.763277
87,3974.327796,5358.714099
88,4176.534417,5109.367285
89,4190.180262,5108.126753
90,4410.994854,5532.388497
91,4437.046014,5108.126753
92,4449.451328,5105.64569
93,3176.97823,4391.512572
94,3161.15145,4353.076107
95,3147.585639,4324.814
96,3130.628375,4290.899472
97,3113.671111,4258.115428
98,3093.322394,4221.939931
99,3076.36513,4192.54734
100,3051.494476,4147.327969
101,2949.750891,3981.146781
102,3292.287626,3736.962178
103,3329.593607,3790.094939
104,3382.726368,3874.881259
105,3436.989613,3960.798064
106,3482.208984,4041.062448
107,3525.167386,4113.413441
108,3563.603851,4195.938793
109,3586.213537,4244.549617
110,3614.475644,4306.726252
111,3604.301285,4312.378673
112,3586.213537,4273.942208
113,3574.908694,4247.94107
114,3557.95143,4219.678963
115,3554.559977,4206.113151
116,3531.950292,4156.371843
117,3516.123512,4119.065862
118,3487.861405,4071.585523
119,3470.904141,4045.584385
120,3121.913441,3870.799911
121,3205.649312,4000.125311
122,3309.35693791738,4170.917674547142
123,3406.118388277669,4344.672106914543
124,3395.713931249681,4351.955226834135
125,3298.952480889392,4176.119903061136
126,3195.94835631231,4007.567699207729
127,3065.892643462459,4080.3988984036464
128,3027.396152458903,3983.637448043357
129,3124.157602819192,4129.29984643519
130,3156.4114196059554,4098.086475351226
131,3151.209191091961,4050.225973022481
132,3243.808858641055,4190.68614290032
133,3225.0808359906764,4202.131045631107
134,3271.9008926166225,3989.880122260151
135,3233.404401613067,3891.037780494264
136,3330.165851973356,4036.7001788860966
137,3360.3387773545214,4004.446362099334
138,3355.136548840527,3955.54541406779
139,3452.938444903615,4101.207812459623
140,3434.2104222532366,4113.693160893208
141,2601.1459567648635,3572.4112882977315
142,2436.2953385848755,3221.911142167384
143,2431.673358635904,3238.088071988784
144,2584.9690269434627,3567.0189783572646
145,2506.395367810945,3399.8573702027907
146,2150.502911740129,3424.50792993064
147,2103.512782258918,3534.6651187144635
148,2042.656712930792,3549.301388552873
149,2179.77545141695,3515.4068689270816
150,2102.742452267423,3332.8386609427025
151,2041.116052947801,3347.474930781113
152,1990.2742735091133,3355.1782306960654
153,2924.563901508495,3432.198024188596
154,3088.434099699307,3547.687497199263
155,3093.1161053619016,3290.177185756558
156,3251.52396361302,3413.470001538217
157,3345.1640768649127,3485.260755031334
158,3385.741459274066,3517.254460392397
159,3481.371224846849,3586.4717114567848
160,3569.0087667364405,3652.9301807230586
161,3674.904129853031,3730.3433427255313
162,3725.557828722368,4026.300123743773
163,3624.534552694845,3948.746901742847
164,3536.7769593780067,3883.4389253210143
165,3453.1011145875336,3820.171823162364
166,3373.5070183234247,3762.006906661669
167,3188.8078975054286,3626.2887681600473
168,2828.9177289073214,3518.792319175419
169,2846.6053058549014,3374.570537910538
170,2741.8404270115443,3294.2961502253684
171,2675.17186774759,3650.768854861206
172,2643.878462378795,3223.545842435049
173,2556.801160483018,3158.2378660132167
174,2366.5504614977417,3016.746854546758
175,3907.655835283367,4163.205971032282
176,4096.536747483766,4302.4656266376605
177,4288.619031077392,4441.72528224304
178,4376.656744391137,4492.947224534673
179,4490.305428850699,4336.080026266545
180,4413.472515413248,4275.253969795231
181,4314.230002223208,4204.823799144235
182,4230.994345999304,4142.397056976306
183,4130.1511471126505,4070.366200628696
184,4046.915490888746,4007.939458460768
185,3947.6729776987054,3932.7072307199305
186,3583.618625260857,3606.276195238136
187,3505.8853261190616,3383.0705791309806
188,3523.652937351472,3394.175336151237
189,3590.281479473011,3592.9504868138283
190,3665.7938272107554,3592.9504868138283
191,3596.944333685165,3380.849627726929
192,3747.9690291606535,3579.6247783895205
193,3678.009059933037,3369.7448707066724
194,3771.289018903192,3359.7505893884418
195,3817.9289983882695,3569.63049707129
