,img_number,img_points
0,0,"[(1351.0901714386837, 578.6574036146465), (1316.0374896469864, 577.6264423854789), (1270.6751955636132, 577.6264423854789), (1234.5915525427483, 578.6574036146465), (1188.1982972302078, 580.7193260729815), (1152.114654209343, 579.6883648438139), (1103.659476438467, 578.6574036146465), (1065.513910959267, 577.6264423854789), (1017.0587331883912, 577.6264423854789), (977.8822064800236, 576.5954811563113), (933.550873625818, 577.6264423854789), (893.3433856882828, 577.6264423854789), (846.9501303757422, 577.6264423854789), (807.7736036673746, 576.5954811563113), (760.3493871256663, 577.6264423854789), (720.1418991881311, 576.5954811563113), (671.6867214172554, 575.5645199271437), (632.5101947088878, 576.5954811563113), (583.0240557088443, 577.6264423854789), (544.8784902296443, 575.5645199271437), (493.3304287712658, 574.5335586979761), (454.15390206289817, 572.471636239641), (399.51295691701705, 572.471636239641), (363.42931389615205, 571.4406750104735), (308.78836875027093, 573.5025974688085), (269.6118420419033, 573.5025974688085), (224.24954795853014, 572.471636239641), (184.0420600209949, 570.4097137813059), (125.27726995844344, 573.5025974688085), (86.1007432500758, 570.4097137813059), (31.45979810419462, 572.471636239641), (39.707487937535205, 679.6916040730682), (89.19362693757856, 681.7535265314034), (153.11322314596785, 680.7225653022358), (196.4135947710058, 683.8154489897386), (263.42607466689776, 681.7535265314034), (311.8812524377736, 683.8154489897386), (374.0693122228161, 686.7440753073399), (418.30596405818875, 687.6468641203066), (481.50118096586397, 683.1329200554727), (526.6406216142034, 684.0357088684395), (587.1274720829783, 682.2301312425059), (634.9752791702181, 683.1329200554727), (901.2979789954206, 686.7440753073399), (945.5346308307933, 686.7440753073399), (1004.2159036736346, 684.0357088684395), (945.5346308307933, 721.9528390130447), (925.6732769455239, 722.8556278260114), (625.0446022275833, 721.9528390130447), (602.4748819034137, 721.9528390130447), (293.04970339665437, 721.7222683041435), (273.75780114229246, 721.7222683041435), (203.68815616182695, 707.5263402301791), (301.46103896103904, 899.9675324675325), (211.9849977608598, 956.7969099865652), (271.23264666368124, 932.614196148679), (740.3772951186745, 918.1045678459473), (1578.7000036500092, 520.2614424274246), (1561.864336884605, 505.1525107148825), (1546.3237214088474, 493.0653653448488), (1529.9197384066588, 480.5465362115996), (1516.5375417469786, 471.9128609472898), (1502.2919775608675, 460.68908310368704), (1488.9097809011873, 450.3286727865153), (1475.9592680047226, 439.10489494291255), (1463.8721226346888, 429.60785215217174), (1455.2384473703792, 420.974176887862), (1446.1730883428538, 413.6355529131987), (1435.3809942624666, 405.4335614121044), (1423.7255326556483, 395.9365186213636), (1412.0700710488302, 388.1662108834848), (1404.2997633109512, 380.82758690882144), (1395.234404283426, 374.3523304605891), (1386.1690452559008, 367.44539024914127), (1379.6937888076684, 362.2651850905554), (1371.0601135433587, 355.78992864232305), (1363.7214895686952, 349.7463559573062), (1356.8145493572474, 343.7027832722893), (1349.0442416193687, 338.52257811370345), (1342.1373014079209, 333.3423729551176), (1336.093728722904, 328.5938515597472), (1328.3234209850252, 322.9819626379458), (1321.4164807735774, 317.80175747935994), (1314.5095405621296, 313.48491984720505), (792.145854701472, 291.67322457853595), (774.8742289412478, 289.4589135836354), (753.1739811912225, 288.1303269866951), (736.3452176299784, 286.80174038975474), (714.6449698799531, 287.2446025887349), (696.4876197217687, 285.47315379281446), (677.001682966644, 286.3588781907747), (658.4014706094795, 285.03029159383436), (635.8154984614939, 285.03029159383436), (618.1010105022897, 284.1445671958741), (596.4007627522644, 285.03029159383436), (577.8005503950999, 283.701704996894), (558.3146136399752, 283.701704996894), (539.7144012828106, 282.3731183999537), (518.8998779307456, 282.3731183999537), (502.5139765684815, 281.4873940019935), (476.3851068286552, 281.9302562009736), (460.44206766537127, 280.6016696040333), (361.24093509382715, 278.3873586091327), (345.2978959305433, 277.05877201219243), (323.59764818051804, 277.5016342111725), (305.8831602213137, 275.7301854152521), (284.6257746702686, 275.7301854152521), (267.3541489100444, 274.8444610172919), (244.76817676205889, 275.28732321627194), (227.0536888028546, 273.51587442035157), (204.02485445588894, 274.40159881831175), (187.638953093625, 272.6301500223913), (223.06792901203357, 261.1157328489086), (235.9109327824567, 262.88718164482896), (258.0540427314621, 262.88718164482896), (271.78277089984545, 263.3300438438091), (295.69732964477123, 263.3300438438091), (310.3117822111148, 264.6586304407494), (331.12630556317987, 265.1014926397295), (348.39793132340407, 265.54435483870964), (369.21245467546913, 265.54435483870964), (383.82690724181265, 266.8729414356499), (483.02803981335677, 268.20152803259026), (497.1996301807202, 269.0872524305505), (518.4570157317654, 269.9729768285107), (533.9571926960692, 270.8587012264709), (556.1003026450746, 270.4158390274908), (571.6004796093783, 271.30156342545104), (595.5150383543041, 271.74442562443113), (610.1294909206478, 272.1872878234112), (631.3868764716929, 273.0730122213714), (647.7727778339569, 273.0730122213714), (669.9158877829623, 273.51587442035157), (684.9732025482859, 274.8444610172919), (706.6734502983112, 274.8444610172919), (723.5022138595552, 274.8444610172919), (743.8738750126403, 276.1730476142322), (760.7026385738843, 277.05877201219243), (781.5171619259494, 277.5016342111725), (797.9030632882134, 277.9444964101526), (817.5864597027, 275.13002181355915), (804.7735218063362, 270.8590425147712), (782.4695188015544, 270.3844892593503), (767.7583678835069, 270.3844892593503), (664.7803114571748, 267.53716972682497), (550.4129769007411, 264.68985019429965), (330.64666064378514, 258.92626076323285), (231.38410803330697, 256.3772224031451), (70.35095819756935, 272.2829758764485), (46.87758952599819, 275.81165221269777), (33.06972560154455, 280.26085281057726), (21.870013751709948, 284.09637056736995), (9.596356929973382, 287.9318883241626), (470.02732142080015, 412.468472545414), (469.44672932114446, 423.209426389044), (468.28554512183314, 428.434755285945), (467.70495302217745, 436.56304468112455), (466.25347277303825, 440.6271893787142), (465.09228857372693, 447.59429457458236), (463.93110437441555, 454.85169582027834), (462.18932807544854, 462.97998521545776), (459.28636757717015, 469.36649831167017), (456.6737031287196, 476.91419560719396), (452.89985448095774, 483.01041265357856), (450.8677821321628, 490.8484059989302), (447.09393348440096, 498.6863993442818), (443.32008483663907, 508.2661689886005), (439.25594013904936, 517.2653465332635), (430.5470586442142, 530.618964825344), (443.32008483663907, 531.1995569249997), (450.8677821321628, 516.9750504834357), (454.93192682975257, 508.2661689886005), (457.54459127820314, 498.6863993442818), (460.73784782630935, 491.4289980985859), (463.93110437441555, 482.1395245040951), (467.4146569723496, 476.0433074577105), (469.44672932114446, 468.20531411235885), (471.47880166993934, 461.8188010161464), (474.0914661183899, 453.9808076707948), (474.96235426787337, 447.0137024749267), (476.12353846718474, 440.6271893787142), (477.2847226664961, 435.4018604818132), (478.15561081597957, 428.1444592361172), (479.02649896546313, 423.4997224388718), (479.31679501529095, 416.5326172430037), (649.1399841645762, 414.79084094403663), (651.4623525631989, 420.8870579904212), (653.7847209618216, 426.1123868873224), (655.5264972607886, 433.3697881330183), (658.1391617092391, 439.4660051794029), (659.0100498587226, 447.30399852475455), (659.5906419583783, 452.8196234714834), (659.5906419583783, 460.07702471717937), (661.0421222075175, 466.4635378133918), (661.0421222075175, 474.01123510891557), (659.8809380082062, 482.4298205539229), (659.8809380082062, 490.55810994910235), (660.4615301078618, 498.396103294454), (659.5906419583783, 506.8146887394613), (658.7197538088949, 516.1041623339521), (656.9779775099278, 530.9092608751719), (668.0092274033857, 531.1995569249997), (670.9121879016641, 517.2653465332635), (671.4927800013197, 508.5564650384283), (672.0733721009753, 498.10580724462613), (672.653964200631, 490.8484059989302), (672.653964200631, 482.4298205539229), (671.7830760511475, 472.5597548597764), (671.4927800013197, 465.30235361408046), (670.3315958020083, 459.78672866735155), (669.4607076525249, 451.6584392721721), (668.0092274033857, 447.0137024749267), (666.8480432040743, 439.175709129575), (665.6868590047629, 433.66008418284616), (663.9450827057959, 425.5317947876666), (660.1712340580341, 420.0161698409378), (657.8488656594113, 411.3072883461026), (596.0158070460818, 456.59347211924535), (584.6942611027962, 456.88376816907316), (578.0174519567558, 441.20778147836995), (551.019919322767, 440.3368933288864), (532.1506760839575, 431.9183078838791), (547.2460706750051, 424.6609066381832), (587.0166295014188, 437.1436367807802), (414.6965197622179, 378.68007671462766), (366.7228570465502, 382.82168788432557), (295.2800643692608, 385.23762773331606), (220.38592905055648, 388.688970374731), (135.48290007174884, 391.79517875200446), (50.579871092941175, 394.5562528651364), (393.2981953854452, 377.9898081863447), (332.89969916068367, 362.11363203583596), (293.2092587844119, 363.8393033565434), (224.18240595611294, 366.6003774696753), (147.56259931670115, 369.3614515828073), (78.88088075254373, 371.4322571676563), (276.2976798414786, 346.5825901494687), (248.34180444601756, 347.2728586777516), (201.0584102586328, 348.99852999845916), (146.87233078841814, 349.34366426260067), (83.02249192224167, 351.0693355833081), (12.269967773235294, 351.7596041115911), (282.5100965960255, 342.09584471562926), (176.20874324044516, 380.75088229947664), (273.5366057283467, 377.6446739222032), (323.2359397647218, 370.7419886393733), (244.8904618046026, 372.12252569593926), (116.15538127982515, 362.4587662999774), (201.4035445227743, 360.0428264509869), (224.5275402202544, 353.4852754322985), (538.6897237912256, 290.7207376883406), (544.7264637475984, 298.5947463270878), (554.175274114095, 305.6813541019604), (564.1490183898416, 311.98056101295816), (574.6476965748379, 317.2299001054563), (587.5085773514584, 323.0041731072043), (598.5321894457045, 329.82831392745186), (837.3771181543707, 323.2666400618292), (810.0805548733803, 312.7679618768329), (786.7209959117635, 303.3191515103362), (768.6107760426448, 295.70760982621385), (648.9258447336867, 289.670869869841), (657.5872542363088, 297.0199445993384), (668.8733332851798, 302.26928369183656), (686.1961522904237, 310.9306931944585), (706.6685747511665, 318.27976792395594), (726.0911293934098, 323.5291070164541), (716.3798520722881, 308.56849060283434), (742.6265475347789, 318.27976792395594), (778.8469872730162, 316.4424992415816), (611.6555371769499, 308.83095755745927), (633.7027613654421, 319.59210269708046), (664.6738620111813, 318.017300969331), (909.0541619115032, 366.6279686664838), (972.243690680843, 388.60693519494976), (1025.228699276252, 386.2520459240427), (1104.9024529419412, 384.2896381982868), (1194.3882452364096, 384.2896381982868), (1256.4003293702958, 384.2896381982868), (980.8782846741689, 384.2896381982868), (929.4632022593645, 368.5903763922397), (957.3293919650981, 366.23548712133265), (1016.594105282926, 365.0580424858791), (1078.9986709619634, 365.0580424858791), (1142.9731628216055, 364.27307939557676), (1208.5175808618521, 362.7031532149721), (1026.0136623665544, 371.7302287534491), (1046.4227027144157, 374.08511802435623), (1497.9885659390666, 504.4138075495139), (1441.7540051716915, 494.44818918567523), (1355.6225893128008, 478.787931756786), (1273.7621527526978, 464.5513340941594), (1191.901716192595, 451.7383961977955), (1123.5660474119873, 438.92545830143155), (1053.806718865117, 427.53618017133033), (991.1656891495602, 415.4350721580977), (932.0838088496598, 405.4694537942591), (871.5782687834968, 390.5210262485012), (819.6146873149098, 381.2672377677939), (760.5328070150094, 369.87795963769264), (830.2921355618797, 363.4714906895107), (876.5610779654162, 357.77685162446005), (923.5418502520838, 349.9467229100154), (974.0817719544082, 346.3875734943588), (1013.9442454097626, 338.5574447799142), (1057.3658682807736, 334.9982953642575), (1098.6520015023907, 327.1681666498129), (1128.5488565939067, 325.74450688355023), (1171.9704794649178, 317.91437816910565), (674.4013911561186, 356.3531918581974), (722.0939933259177, 349.9467229100154), (759.1091472487468, 347.0994033774901), (819.6146873149098, 337.8456148967828), (868.0191193678402, 334.2864654811262), (909.3052525894573, 326.45633676668155), (624.444909928781, 345.51169770163096), (583.5309434725452, 339.0515977348569), (545.2010170030194, 331.2994777747281), (500.84166389783746, 323.97803114571747), (465.52645074613935, 316.65658451670686), (423.75113762766716, 310.62715788105106), (386.2825578203777, 302.87503792092224), (346.2299380263786, 296.8456112852665), (316.51347817921794, 289.95483798737416), (281.6289383586381, 284.7867580139549), (250.18978518700436, 277.46531138494436), (138.2147190962542, 281.34137136500874), (172.6685855857158, 288.66281799401935), (200.66235210840335, 294.2615712985569), (237.70025858457456, 301.15234459644915), (271.2927784117996, 306.7510979009867), (306.60799156349776, 314.07254452999723), (347.09128468861513, 321.8246644901261), (386.2825578203777, 330.43813111249153), (426.3351776143768, 337.3289044103838), (465.0957774150211, 345.9423710327492), (509.4551305202029, 353.69449099287806), (572.3334368634703, 365.3226709330713), (510.3164771824394, 373.5054642243185), (456.912984123774, 380.39623752221075), (391.0199644626787, 387.71768415122136), (324.2655981393468, 395.039130780232), (254.49651849818707, 402.7912507403608), (182.25490082775954, 412.3618708196698), (100.01519545526776, 419.9766583541598), (11.176007552884613, 429.11440339554775), (28.943845133361236, 464.1424260542017), (124.38251556563569, 451.9587659990177), (210.68344095652216, 440.7904109484324), (278.70887626463264, 432.66797091164307), (365.00980165551914, 422.51492086565645), (435.0658469728269, 412.3618708196698), (504.61423978783546, 403.2241257782818), (571.6243700913473, 394.08638073689383), (613.2518752798925, 389.5175082161998), (657.9252954822338, 381.39506817941054), (668.5859980305197, 381.39506817941054), (707.1675882052689, 392.0557707276965), (756.0741191511493, 403.4598995276137), (810.3218944570447, 416.84571421348403), (873.728385074325, 430.2315288993543), (927.2716438178063, 441.50379389798195), (997.7233000592289, 454.18509202143804), (1071.6975391127226, 467.5709067073083), (1151.3079106655302, 481.66123795559287), (1228.8047325310952, 498.56963545353426), (1313.3467200208024, 515.4780329514757), (1387.3209590742963, 528.1593310749317)]"
1,1,"[(1146.988175895295, 298.6379274229664), (1131.5863224650766, 298.24300810424285), (1108.681001979111, 297.0582501480722), (1086.5655201305924, 297.45316946679577), (1070.373828062927, 297.0582501480722), (1051.417700764197, 296.66333082934864), (1029.3022189156782, 295.478572873178), (1026.1428643658899, 284.42083194891876), (1046.6786689395144, 284.0259126301952), (1062.8703610071798, 283.6309933114717), (1077.8772951186743, 286.00050922381297), (1099.5978576484695, 285.60558990508935), (1120.9235008595408, 286.3954285425365), (1137.5101122459298, 286.3954285425365)]"
2,2,"[(813.352728351686, 289.9938025052299), (832.3648634284935, 290.7067575706102), (853.278212012982, 291.4197126359905), (871.3397403359493, 291.65736432445055), (893.441347362738, 291.65736432445055), (911.9781790626255, 292.84562276675103), (931.9409208932735, 293.08327445521115), (950.0024492162408, 293.08327445521115), (950.240100904701, 280.72538665528623), (931.9409208932735, 281.6759934091266), (912.6911341280058, 280.9630383437463), (894.3919541165785, 280.4877349668261), (873.9539089090102, 279.29947652452563), (858.0312457821839, 278.8241731476054), (837.3555488861556, 278.58652145914533), (818.8187171862681, 278.34886977068527)]"
