,contour
34,"[[4013, 3051], [4031, 2792]]"
35,"[[3028, 5169], [3175, 5170]]"
36,"[[3249, 5053], [3376, 5039], [3245, 5330]]"
37,"[[3561, 4893]]"
38,"[[2596, 2732], [2577, 2637], [2852, 2527], [2900, 2658]]"
39,"[[3367, 2868], [3374, 2791], [3676, 2606], [3735, 2753]]"
40,"[[3824, 3693], [3871, 3591]]"
41,"[[3719, 3794], [3750, 4026], [3523, 4148], [3527, 3925]]"
42,"[[2313, 2809], [2396, 3025]]"
43,"[[4018, 3051], [4033, 2826]]"
44,"[[3031, 5178], [3175, 5170]]"
45,"[[3249, 5053], [3376, 5039], [3244, 5330]]"
46,"[[3561, 4893]]"
47,"[[3846, 3717], [3903, 3633]]"
48,"[[2563, 2744], [2559, 2658], [2837, 2546], [2884, 2667]]"
49,"[[3295, 1574], [3295, 1574], [3295, 1574], [3295, 1574]]"
50,"[[3747, 3892], [3770, 4084], [3532, 4181], [3537, 3962]]"
51,"[[2291, 2859], [2356, 3014]]"
52,"[[2546, 2087], [2409, 2091], [2485, 1807], [2576, 1838]]"
53,"[[3029, 5168], [3175, 5170]]"
54,"[[3249, 5053], [3376, 5039], [3245, 5330]]"
55,"[[3561, 4893]]"
56,"[[2561, 2791], [2557, 2717], [2844, 2618], [2876, 2709]]"
57,"[[3896, 3774], [3949, 3497]]"
58,"[[2145, 3161], [2279, 3022], [2346, 3085]]"
59,"[[3310, 2881], [3318, 2794], [3621, 2678], [3681, 2778]]"
60,"[[3750, 3768], [3778, 4002], [3568, 4187], [3558, 3964]]"
61,"[[2392, 1588], [2504, 1562]]"
62,"[[2456, 2159], [2498, 2096], [2613, 2183], [2584, 2217]]"
63,"[[3029, 5168], [3175, 5168]]"
64,"[[3249, 5053], [3376, 5039], [3244, 5330]]"
65,"[[3561, 4893]]"
66,"[[3926, 3664], [4029, 3540]]"
67,"[[2539, 2770], [2513, 2662], [2813, 2576], [2858, 2701]]"
68,"[[2154, 3178], [2273, 3082], [2335, 3139]]"
69,"[[3867, 3875], [3881, 3990], [3573, 4085], [3568, 3947]]"
70,"[[3284, 2876], [3302, 2769], [3609, 2703], [3653, 2794]]"
71,"[[2407, 1676], [2424, 1631], [2472, 1601], [2537, 1674]]"
72,"[[3027, 5178], [3175, 5170]]"
73,"[[3249, 5053], [3376, 5039], [3244, 5330]]"
74,"[[3561, 4893]]"
75,"[[3817, 3774], [3813, 4021], [3608, 4161], [3591, 3909]]"
76,"[[3949, 3681], [4064, 3421]]"
77,"[[2506, 2755], [2487, 2623], [2787, 2486], [2818, 2634]]"
78,"[[2255, 3070], [2313, 3173]]"
79,"[[3258, 2896], [3278, 2747], [3558, 2656], [3616, 2789]]"
80,"[[2617, 4277], [2634, 4384]]"
81,"[[3027, 5178], [3175, 5170]]"
82,"[[3249, 5053], [3376, 5039], [3244, 5330]]"
83,"[[3561, 4893]]"
84,"[[3819, 3764], [3813, 4021], [3608, 4161], [3591, 3909]]"
85,"[[3968, 3600], [4074, 3451]]"
86,"[[2506, 2755], [2485, 2623], [2787, 2486], [2818, 2634]]"
87,"[[2254, 3071], [2317, 3183]]"
88,"[[3259, 2896], [3279, 2747], [3563, 2656], [3616, 2777]]"
89,"[[2512, 1575]]"
90,"[[2618, 4282], [2633, 4384]]"
91,"[[3026, 5178], [3175, 5172]]"
92,"[[3251, 5053], [3376, 5039], [3244, 5328]]"
93,"[[3560, 4894]]"
94,"[[3977, 3666], [4077, 3361]]"
95,"[[2492, 2724], [2471, 2577], [2769, 2481], [2816, 2652]]"
96,"[[3841, 3802], [3866, 4038], [3630, 4197], [3630, 3968]]"
97,"[[3220, 2932], [3244, 2759], [3520, 2684], [3577, 2803]]"
98,"[[3952, 2654], [3937, 2418]]"
99,"[[2105, 3045], [2223, 2946], [2271, 3155]]"
100,"[[2533, 1611], [2497, 1660]]"
101,"[[2644, 4251], [2665, 4351]]"
102,"[[3026, 5178], [3175, 5170]]"
103,"[[3249, 5053], [3376, 5041], [3245, 5330]]"
104,"[[3560, 4894]]"
105,"[[3874, 3809], [3915, 4087], [3644, 4223], [3644, 3993]]"
106,"[[4008, 3693]]"
107,"[[2478, 2777], [2459, 2625], [2775, 2559], [2812, 2735]]"
108,"[[3204, 2912], [3236, 2707], [3452, 2744], [3427, 2844]]"
109,"[[2669, 1659], [2481, 1583]]"
110,"[[2546, 1552], [2492, 1580]]"
111,"[[2686, 4271], [2707, 4372]]"
112,"[[2136, 3121], [2183, 2988], [2242, 3150]]"
113,"[[3027, 5178], [3175, 5170]]"
114,"[[3249, 5053], [3376, 5039], [3244, 5330]]"
115,"[[3557, 4897]]"
116,"[[3935, 3769], [3939, 4076], [3664, 4152], [3689, 3898]]"
117,"[[2417, 2730], [2416, 2571], [2738, 2522], [2779, 2697]]"
118,"[[4046, 3609]]"
119,"[[3178, 2928], [3203, 2860], [3437, 2829], [3400, 2922]]"
120,"[[2656, 1633], [2467, 1571]]"
121,"[[2704, 4241], [2744, 4366]]"
122,"[[2435, 1671], [2479, 1621], [2539, 1553]]"
123,"[[3027, 5178], [3175, 5170]]"
124,"[[3248, 5051], [3375, 5039], [3244, 5328]]"
125,"[[3561, 4895]]"
126,"[[3946, 3730], [3971, 4061], [3688, 4154], [3699, 3904]]"
127,"[[2391, 2705], [2374, 2527], [2718, 2520], [2761, 2702]]"
128,"[[3143, 2934], [3175, 2676], [3429, 2795], [3386, 2912]]"
129,"[[2687, 4147], [2752, 4288]]"
130,"[[2648, 1561], [2453, 1542]]"
131,"[[3949, 2792], [3895, 2568]]"
132,"[[2360, 1565]]"
133,"[[3027, 5178], [3176, 5170]]"
134,"[[3248, 5051], [3375, 5039], [3244, 5328]]"
135,"[[3561, 4895]]"
136,"[[2356, 2707], [2366, 2587], [2705, 2509], [2733, 2665]]"
137,"[[2697, 4134], [2741, 4312]]"
138,"[[3969, 3739], [3971, 4046], [3714, 4101], [3746, 3873]]"
