,contour
30,"[[3089, 4997], [2904, 4680], [3036, 4682]]"
31,"[[3974, 5160], [4098, 5132], [4149, 5427]]"
32,"[[3640, 4696], [3774, 4674], [3849, 4991], [3720, 5016]]"
33,"[[2949, 1842], [2825, 1837], [2828, 1503], [3022, 1513]]"
34,"[[2754, 2839], [2630, 2846], [2600, 2556], [2715, 2515]]"
35,"[[2136, 2145], [2318, 2180], [2421, 2211], [2417, 2249]]"
36,"[[2454, 1408]]"
37,"[[3527, 2594], [3640, 2577], [3684, 2810], [3562, 2839]]"
38,"[[4233, 4157], [4353, 4128], [4420, 4438], [4306, 4470]]"
39,"[[3060, 4235], [2919, 4183], [2821, 3843], [2951, 3842]]"
40,"[[3837, 4345], [3966, 4341], [4028, 4620], [3917, 4650]]"
41,"[[2598, 3705], [2411, 3703], [2465, 3490], [2626, 3476]]"
42,"[[3374, 4740], [3515, 4725], [3581, 5076], [3462, 5101]]"
43,"[[3089, 4997], [2898, 4670], [3036, 4682]]"
44,"[[3974, 5160], [4098, 5132], [4149, 5427]]"
45,"[[3638, 4691], [3772, 4669], [3847, 4986], [3719, 5012]]"
46,"[[2946, 1840], [2812, 1814], [2851, 1734], [3022, 1513]]"
47,"[[2756, 2839], [2630, 2846], [2600, 2556], [2719, 2528]]"
48,"[[2454, 1408]]"
49,"[[2102, 2086], [2292, 2104], [2440, 2191], [2384, 2215]]"
50,"[[3533, 2621], [3643, 2576], [3684, 2810], [3560, 2839]]"
51,"[[4229, 4132], [4352, 4096], [4414, 4410], [4300, 4437]]"
52,"[[3828, 4321], [3961, 4321], [4024, 4607], [3912, 4637]]"
53,"[[3069, 4260], [2930, 4211], [2816, 3851], [2958, 3870]]"
54,"[[3374, 4735], [3516, 4724], [3583, 5072], [3460, 5094]]"
55,"[[2602, 3722], [2405, 3703], [2442, 3466], [2620, 3478]]"
56,"[[3031, 4688]]"
57,"[[3971, 5147], [4093, 5119], [4145, 5401]]"
58,"[[3636, 4682], [3774, 4669], [3847, 4982], [3719, 5008]]"
59,"[[2965, 1851], [2810, 1814], [2828, 1503], [3031, 1532]]"
60,"[[2139, 2203], [2353, 2239], [2493, 2275], [2422, 2285]]"
61,"[[2779, 2904], [2651, 2898], [2619, 2625], [2722, 2542]]"
62,"[[2454, 1445]]"
63,"[[3499, 2532], [3621, 2496], [3680, 2782], [3557, 2798]]"
64,"[[4221, 4113], [4346, 4084], [4408, 4387], [4295, 4422]]"
65,"[[3831, 4322], [3959, 4301], [4022, 4586], [3907, 4620]]"
66,"[[3067, 4267], [2931, 4228], [2835, 3894], [2963, 3908]]"
67,"[[3371, 4725], [3516, 4719], [3582, 5068], [3458, 5084]]"
68,"[[2621, 3755], [2411, 3737], [2460, 3529], [2635, 3521]]"
69,"[[3033, 4704]]"
70,"[[3965, 5119], [4086, 5086], [4142, 5382]]"
