,targets
0,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1298, 'x_rd': 1131, 'y_rd': 1598, 'x_center': 938.5, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 321, 'y_lu': 1554, 'x_rd': 927, 'y_rd': 2006, 'x_center': 624.0, 'y_center': 1780.0}, {'obj_ID': 3, 'x_lu': 820, 'y_lu': 936, 'x_rd': 1074, 'y_rd': 1097, 'x_center': 947.0, 'y_center': 1016.5}, {'obj_ID': 4, 'x_lu': 2252, 'y_lu': 895, 'x_rd': 2427, 'y_rd': 1053, 'x_center': 2339.5, 'y_center': 974.0}, {'obj_ID': 5, 'x_lu': 2727, 'y_lu': 1017, 'x_rd': 3047, 'y_rd': 1273, 'x_center': 2887.0, 'y_center': 1145.0}, {'obj_ID': 6, 'x_lu': 2445, 'y_lu': 1397, 'x_rd': 2829, 'y_rd': 1716, 'x_center': 2637.0, 'y_center': 1556.5}, {'obj_ID': 7, 'x_lu': 146, 'y_lu': 1125, 'x_rd': 534, 'y_rd': 1394, 'x_center': 340.0, 'y_center': 1259.5}, {'obj_ID': 8, 'x_lu': 1196, 'y_lu': 1006, 'x_rd': 1470, 'y_rd': 1205, 'x_center': 1333.0, 'y_center': 1105.5}, {'obj_ID': 9, 'x_lu': 1355, 'y_lu': 1139, 'x_rd': 1620, 'y_rd': 1376, 'x_center': 1487.5, 'y_center': 1257.5}, {'obj_ID': 10, 'x_lu': 1397, 'y_lu': 874, 'x_rd': 1560, 'y_rd': 1022, 'x_center': 1478.5, 'y_center': 948.0}, {'obj_ID': 11, 'x_lu': 1132, 'y_lu': 832, 'x_rd': 1339, 'y_rd': 969, 'x_center': 1235.5, 'y_center': 900.5}, {'obj_ID': 12, 'x_lu': 38, 'y_lu': 1043, 'x_rd': 363, 'y_rd': 1257, 'x_center': 200.5, 'y_center': 1150.0}, {'obj_ID': 13, 'x_lu': 999, 'y_lu': 805, 'x_rd': 1190, 'y_rd': 943, 'x_center': 1094.5, 'y_center': 874.0}, {'obj_ID': 14, 'x_lu': 2349, 'y_lu': 761, 'x_rd': 2489, 'y_rd': 872, 'x_center': 2419.0, 'y_center': 816.5}, {'obj_ID': 15, 'x_lu': 1958, 'y_lu': 1200, 'x_rd': 2254, 'y_rd': 1494, 'x_center': 2106.0, 'y_center': 1347.0}, {'obj_ID': 16, 'x_lu': 2266, 'y_lu': 1064, 'x_rd': 2501, 'y_rd': 1263, 'x_center': 2383.5, 'y_center': 1163.5}, {'obj_ID': 17, 'x_lu': 2033, 'y_lu': 756, 'x_rd': 2181, 'y_rd': 864, 'x_center': 2107.0, 'y_center': 810.0}, {'obj_ID': 18, 'x_lu': 2989, 'y_lu': 1053, 'x_rd': 3454, 'y_rd': 2065, 'x_center': 3221.5, 'y_center': 1559.0}, {'obj_ID': 19, 'x_lu': 191, 'y_lu': 936, 'x_rd': 491, 'y_rd': 1086, 'x_center': 341.0, 'y_center': 1011.0}, {'obj_ID': 20, 'x_lu': 1536, 'y_lu': 563, 'x_rd': 1791, 'y_rd': 752, 'x_center': 1663.5, 'y_center': 657.5}, {'obj_ID': 21, 'x_lu': 1999, 'y_lu': 890, 'x_rd': 2172, 'y_rd': 1028, 'x_center': 2085.5, 'y_center': 959.0}]"
1,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1131, 'y_rd': 1598, 'x_center': 938.5, 'y_center': 1448.5}, {'obj_ID': 2, 'x_lu': 322, 'y_lu': 1553, 'x_rd': 929, 'y_rd': 2005, 'x_center': 625.5, 'y_center': 1779.0}, {'obj_ID': 3, 'x_lu': 810, 'y_lu': 938, 'x_rd': 1065, 'y_rd': 1100, 'x_center': 937.5, 'y_center': 1019.0}, {'obj_ID': 4, 'x_lu': 2250, 'y_lu': 895, 'x_rd': 2426, 'y_rd': 1053, 'x_center': 2338.0, 'y_center': 974.0}, {'obj_ID': 5, 'x_lu': 2723, 'y_lu': 1015, 'x_rd': 3042, 'y_rd': 1269, 'x_center': 2882.5, 'y_center': 1142.0}, {'obj_ID': 6, 'x_lu': 2441, 'y_lu': 1390, 'x_rd': 2821, 'y_rd': 1706, 'x_center': 2631.0, 'y_center': 1548.0}, {'obj_ID': 7, 'x_lu': 127, 'y_lu': 1130, 'x_rd': 524, 'y_rd': 1405, 'x_center': 325.5, 'y_center': 1267.5}, {'obj_ID': 8, 'x_lu': 1195, 'y_lu': 1006, 'x_rd': 1470, 'y_rd': 1206, 'x_center': 1332.5, 'y_center': 1106.0}, {'obj_ID': 9, 'x_lu': 1357, 'y_lu': 1141, 'x_rd': 1619, 'y_rd': 1376, 'x_center': 1488.0, 'y_center': 1258.5}, {'obj_ID': 10, 'x_lu': 1397, 'y_lu': 875, 'x_rd': 1560, 'y_rd': 1022, 'x_center': 1478.5, 'y_center': 948.5}, {'obj_ID': 11, 'x_lu': 1127, 'y_lu': 833, 'x_rd': 1333, 'y_rd': 970, 'x_center': 1230.0, 'y_center': 901.5}, {'obj_ID': 12, 'x_lu': 33, 'y_lu': 1055, 'x_rd': 354, 'y_rd': 1267, 'x_center': 193.5, 'y_center': 1161.0}, {'obj_ID': 13, 'x_lu': 994, 'y_lu': 807, 'x_rd': 1183, 'y_rd': 943, 'x_center': 1088.5, 'y_center': 875.0}, {'obj_ID': 14, 'x_lu': 2351, 'y_lu': 760, 'x_rd': 2490, 'y_rd': 871, 'x_center': 2420.5, 'y_center': 815.5}, {'obj_ID': 15, 'x_lu': 1958, 'y_lu': 1195, 'x_rd': 2251, 'y_rd': 1486, 'x_center': 2104.5, 'y_center': 1340.5}, {'obj_ID': 16, 'x_lu': 2267, 'y_lu': 1060, 'x_rd': 2500, 'y_rd': 1258, 'x_center': 2383.5, 'y_center': 1159.0}, {'obj_ID': 17, 'x_lu': 2038, 'y_lu': 754, 'x_rd': 2181, 'y_rd': 859, 'x_center': 2109.5, 'y_center': 806.5}, {'obj_ID': 18, 'x_lu': 2989, 'y_lu': 1049, 'x_rd': 3459, 'y_rd': 2071, 'x_center': 3224.0, 'y_center': 1560.0}, {'obj_ID': 19, 'x_lu': 172, 'y_lu': 938, 'x_rd': 472, 'y_rd': 1088, 'x_center': 322.0, 'y_center': 1013.0}, {'obj_ID': 20, 'x_lu': 1530, 'y_lu': 563, 'x_rd': 1788, 'y_rd': 755, 'x_center': 1659.0, 'y_center': 659.0}, {'obj_ID': 21, 'x_lu': 2001, 'y_lu': 887, 'x_rd': 2174, 'y_rd': 1026, 'x_center': 2087.5, 'y_center': 956.5}]"
2,"[{'obj_ID': 1, 'x_lu': 747, 'y_lu': 1299, 'x_rd': 1131, 'y_rd': 1598, 'x_center': 939.0, 'y_center': 1448.5}, {'obj_ID': 2, 'x_lu': 324, 'y_lu': 1552, 'x_rd': 930, 'y_rd': 2003, 'x_center': 627.0, 'y_center': 1777.5}, {'obj_ID': 3, 'x_lu': 802, 'y_lu': 940, 'x_rd': 1058, 'y_rd': 1104, 'x_center': 930.0, 'y_center': 1022.0}, {'obj_ID': 4, 'x_lu': 2250, 'y_lu': 895, 'x_rd': 2424, 'y_rd': 1051, 'x_center': 2337.0, 'y_center': 973.0}, {'obj_ID': 5, 'x_lu': 2717, 'y_lu': 1013, 'x_rd': 3034, 'y_rd': 1267, 'x_center': 2875.5, 'y_center': 1140.0}, {'obj_ID': 6, 'x_lu': 2441, 'y_lu': 1381, 'x_rd': 2819, 'y_rd': 1695, 'x_center': 2630.0, 'y_center': 1538.0}, {'obj_ID': 7, 'x_lu': 107, 'y_lu': 1130, 'x_rd': 516, 'y_rd': 1414, 'x_center': 311.5, 'y_center': 1272.0}, {'obj_ID': 8, 'x_lu': 1195, 'y_lu': 1006, 'x_rd': 1469, 'y_rd': 1206, 'x_center': 1332.0, 'y_center': 1106.0}, {'obj_ID': 9, 'x_lu': 1357, 'y_lu': 1142, 'x_rd': 1619, 'y_rd': 1376, 'x_center': 1488.0, 'y_center': 1259.0}, {'obj_ID': 10, 'x_lu': 1398, 'y_lu': 876, 'x_rd': 1559, 'y_rd': 1022, 'x_center': 1478.5, 'y_center': 949.0}, {'obj_ID': 11, 'x_lu': 1122, 'y_lu': 834, 'x_rd': 1327, 'y_rd': 971, 'x_center': 1224.5, 'y_center': 902.5}, {'obj_ID': 12, 'x_lu': 26, 'y_lu': 1057, 'x_rd': 349, 'y_rd': 1269, 'x_center': 187.5, 'y_center': 1163.0}, {'obj_ID': 13, 'x_lu': 985, 'y_lu': 807, 'x_rd': 1175, 'y_rd': 944, 'x_center': 1080.0, 'y_center': 875.5}, {'obj_ID': 14, 'x_lu': 2353, 'y_lu': 760, 'x_rd': 2491, 'y_rd': 870, 'x_center': 2422.0, 'y_center': 815.0}, {'obj_ID': 15, 'x_lu': 1957, 'y_lu': 1190, 'x_rd': 2247, 'y_rd': 1478, 'x_center': 2102.0, 'y_center': 1334.0}, {'obj_ID': 16, 'x_lu': 2267, 'y_lu': 1058, 'x_rd': 2497, 'y_rd': 1253, 'x_center': 2382.0, 'y_center': 1155.5}, {'obj_ID': 17, 'x_lu': 2044, 'y_lu': 753, 'x_rd': 2185, 'y_rd': 856, 'x_center': 2114.5, 'y_center': 804.5}, {'obj_ID': 18, 'x_lu': 2984, 'y_lu': 1042, 'x_rd': 3454, 'y_rd': 2067, 'x_center': 3219.0, 'y_center': 1554.5}, {'obj_ID': 19, 'x_lu': 156, 'y_lu': 942, 'x_rd': 467, 'y_rd': 1097, 'x_center': 311.5, 'y_center': 1019.5}, {'obj_ID': 20, 'x_lu': 1528, 'y_lu': 563, 'x_rd': 1785, 'y_rd': 753, 'x_center': 1656.5, 'y_center': 658.0}, {'obj_ID': 21, 'x_lu': 2005, 'y_lu': 885, 'x_rd': 2173, 'y_rd': 1019, 'x_center': 2089.0, 'y_center': 952.0}]"
3,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1129, 'y_rd': 1597, 'x_center': 937.5, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 324, 'y_lu': 1550, 'x_rd': 932, 'y_rd': 2003, 'x_center': 628.0, 'y_center': 1776.5}, {'obj_ID': 3, 'x_lu': 797, 'y_lu': 943, 'x_rd': 1052, 'y_rd': 1105, 'x_center': 924.5, 'y_center': 1024.0}, {'obj_ID': 4, 'x_lu': 2250, 'y_lu': 891, 'x_rd': 2424, 'y_rd': 1047, 'x_center': 2337.0, 'y_center': 969.0}, {'obj_ID': 5, 'x_lu': 2709, 'y_lu': 1010, 'x_rd': 3024, 'y_rd': 1263, 'x_center': 2866.5, 'y_center': 1136.5}, {'obj_ID': 6, 'x_lu': 2435, 'y_lu': 1369, 'x_rd': 2810, 'y_rd': 1682, 'x_center': 2622.5, 'y_center': 1525.5}, {'obj_ID': 7, 'x_lu': 90, 'y_lu': 1134, 'x_rd': 507, 'y_rd': 1424, 'x_center': 298.5, 'y_center': 1279.0}, {'obj_ID': 8, 'x_lu': 1194, 'y_lu': 1005, 'x_rd': 1470, 'y_rd': 1206, 'x_center': 1332.0, 'y_center': 1105.5}, {'obj_ID': 9, 'x_lu': 1358, 'y_lu': 1142, 'x_rd': 1619, 'y_rd': 1375, 'x_center': 1488.5, 'y_center': 1258.5}, {'obj_ID': 10, 'x_lu': 1398, 'y_lu': 877, 'x_rd': 1558, 'y_rd': 1021, 'x_center': 1478.0, 'y_center': 949.0}, {'obj_ID': 11, 'x_lu': 1115, 'y_lu': 833, 'x_rd': 1325, 'y_rd': 974, 'x_center': 1220.0, 'y_center': 903.5}, {'obj_ID': 12, 'x_lu': 22, 'y_lu': 1061, 'x_rd': 344, 'y_rd': 1271, 'x_center': 183.0, 'y_center': 1166.0}, {'obj_ID': 13, 'x_lu': 975, 'y_lu': 806, 'x_rd': 1174, 'y_rd': 950, 'x_center': 1074.5, 'y_center': 878.0}, {'obj_ID': 14, 'x_lu': 2356, 'y_lu': 761, 'x_rd': 2491, 'y_rd': 868, 'x_center': 2423.5, 'y_center': 814.5}, {'obj_ID': 15, 'x_lu': 1965, 'y_lu': 1187, 'x_rd': 2242, 'y_rd': 1462, 'x_center': 2103.5, 'y_center': 1324.5}, {'obj_ID': 16, 'x_lu': 2262, 'y_lu': 1049, 'x_rd': 2495, 'y_rd': 1248, 'x_center': 2378.5, 'y_center': 1148.5}, {'obj_ID': 17, 'x_lu': 2049, 'y_lu': 752, 'x_rd': 2189, 'y_rd': 854, 'x_center': 2119.0, 'y_center': 803.0}, {'obj_ID': 18, 'x_lu': 2979, 'y_lu': 1034, 'x_rd': 3450, 'y_rd': 2058, 'x_center': 3214.5, 'y_center': 1546.0}, {'obj_ID': 19, 'x_lu': 144, 'y_lu': 945, 'x_rd': 455, 'y_rd': 1100, 'x_center': 299.5, 'y_center': 1022.5}, {'obj_ID': 20, 'x_lu': 1527, 'y_lu': 563, 'x_rd': 1781, 'y_rd': 751, 'x_center': 1654.0, 'y_center': 657.0}, {'obj_ID': 21, 'x_lu': 2008, 'y_lu': 883, 'x_rd': 2173, 'y_rd': 1015, 'x_center': 2090.5, 'y_center': 949.0}]"
4,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1129, 'y_rd': 1597, 'x_center': 937.5, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 326, 'y_lu': 1550, 'x_rd': 932, 'y_rd': 2002, 'x_center': 629.0, 'y_center': 1776.0}, {'obj_ID': 3, 'x_lu': 783, 'y_lu': 947, 'x_rd': 1044, 'y_rd': 1114, 'x_center': 913.5, 'y_center': 1030.5}, {'obj_ID': 4, 'x_lu': 2249, 'y_lu': 887, 'x_rd': 2423, 'y_rd': 1043, 'x_center': 2336.0, 'y_center': 965.0}, {'obj_ID': 5, 'x_lu': 2706, 'y_lu': 1008, 'x_rd': 3015, 'y_rd': 1256, 'x_center': 2860.5, 'y_center': 1132.0}, {'obj_ID': 6, 'x_lu': 2434, 'y_lu': 1359, 'x_rd': 2805, 'y_rd': 1668, 'x_center': 2619.5, 'y_center': 1513.5}, {'obj_ID': 7, 'x_lu': 75, 'y_lu': 1139, 'x_rd': 494, 'y_rd': 1430, 'x_center': 284.5, 'y_center': 1284.5}, {'obj_ID': 8, 'x_lu': 1195, 'y_lu': 1006, 'x_rd': 1470, 'y_rd': 1206, 'x_center': 1332.5, 'y_center': 1106.0}, {'obj_ID': 9, 'x_lu': 1358, 'y_lu': 1143, 'x_rd': 1618, 'y_rd': 1376, 'x_center': 1488.0, 'y_center': 1259.5}, {'obj_ID': 10, 'x_lu': 1397, 'y_lu': 876, 'x_rd': 1559, 'y_rd': 1022, 'x_center': 1478.0, 'y_center': 949.0}, {'obj_ID': 11, 'x_lu': 1108, 'y_lu': 835, 'x_rd': 1323, 'y_rd': 979, 'x_center': 1215.5, 'y_center': 907.0}, {'obj_ID': 12, 'x_lu': 16, 'y_lu': 1068, 'x_rd': 332, 'y_rd': 1273, 'x_center': 174.0, 'y_center': 1170.5}, {'obj_ID': 13, 'x_lu': 966, 'y_lu': 808, 'x_rd': 1165, 'y_rd': 952, 'x_center': 1065.5, 'y_center': 880.0}, {'obj_ID': 14, 'x_lu': 2358, 'y_lu': 762, 'x_rd': 2493, 'y_rd': 868, 'x_center': 2425.5, 'y_center': 815.0}, {'obj_ID': 15, 'x_lu': 1968, 'y_lu': 1182, 'x_rd': 2241, 'y_rd': 1452, 'x_center': 2104.5, 'y_center': 1317.0}, {'obj_ID': 16, 'x_lu': 2264, 'y_lu': 1044, 'x_rd': 2491, 'y_rd': 1236, 'x_center': 2377.5, 'y_center': 1140.0}, {'obj_ID': 17, 'x_lu': 2053, 'y_lu': 751, 'x_rd': 2192, 'y_rd': 852, 'x_center': 2122.5, 'y_center': 801.5}, {'obj_ID': 18, 'x_lu': 2974, 'y_lu': 1024, 'x_rd': 3448, 'y_rd': 2052, 'x_center': 3211.0, 'y_center': 1538.0}, {'obj_ID': 19, 'x_lu': 127, 'y_lu': 948, 'x_rd': 443, 'y_rd': 1105, 'x_center': 285.0, 'y_center': 1026.5}, {'obj_ID': 20, 'x_lu': 1523, 'y_lu': 563, 'x_rd': 1782, 'y_rd': 754, 'x_center': 1652.5, 'y_center': 658.5}, {'obj_ID': 21, 'x_lu': 2011, 'y_lu': 881, 'x_rd': 2175, 'y_rd': 1012, 'x_center': 2093.0, 'y_center': 946.5}]"
5,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1129, 'y_rd': 1597, 'x_center': 937.5, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 327, 'y_lu': 1549, 'x_rd': 933, 'y_rd': 2000, 'x_center': 630.0, 'y_center': 1774.5}, {'obj_ID': 3, 'x_lu': 778, 'y_lu': 950, 'x_rd': 1039, 'y_rd': 1117, 'x_center': 908.5, 'y_center': 1033.5}, {'obj_ID': 4, 'x_lu': 2251, 'y_lu': 886, 'x_rd': 2420, 'y_rd': 1038, 'x_center': 2335.5, 'y_center': 962.0}, {'obj_ID': 5, 'x_lu': 2706, 'y_lu': 1005, 'x_rd': 3003, 'y_rd': 1243, 'x_center': 2854.5, 'y_center': 1124.0}, {'obj_ID': 6, 'x_lu': 2428, 'y_lu': 1351, 'x_rd': 2799, 'y_rd': 1660, 'x_center': 2613.5, 'y_center': 1505.5}, {'obj_ID': 7, 'x_lu': 56, 'y_lu': 1144, 'x_rd': 481, 'y_rd': 1440, 'x_center': 268.5, 'y_center': 1292.0}, {'obj_ID': 8, 'x_lu': 1195, 'y_lu': 1006, 'x_rd': 1470, 'y_rd': 1206, 'x_center': 1332.5, 'y_center': 1106.0}, {'obj_ID': 9, 'x_lu': 1357, 'y_lu': 1143, 'x_rd': 1618, 'y_rd': 1376, 'x_center': 1487.5, 'y_center': 1259.5}, {'obj_ID': 10, 'x_lu': 1397, 'y_lu': 874, 'x_rd': 1560, 'y_rd': 1021, 'x_center': 1478.5, 'y_center': 947.5}, {'obj_ID': 11, 'x_lu': 1101, 'y_lu': 836, 'x_rd': 1318, 'y_rd': 982, 'x_center': 1209.5, 'y_center': 909.0}, {'obj_ID': 12, 'x_lu': 5, 'y_lu': 1070, 'x_rd': 326, 'y_rd': 1279, 'x_center': 165.5, 'y_center': 1174.5}, {'obj_ID': 13, 'x_lu': 959, 'y_lu': 809, 'x_rd': 1157, 'y_rd': 952, 'x_center': 1058.0, 'y_center': 880.5}, {'obj_ID': 14, 'x_lu': 2359, 'y_lu': 758, 'x_rd': 2496, 'y_rd': 866, 'x_center': 2427.5, 'y_center': 812.0}, {'obj_ID': 15, 'x_lu': 1969, 'y_lu': 1179, 'x_rd': 2239, 'y_rd': 1446, 'x_center': 2104.0, 'y_center': 1312.5}, {'obj_ID': 16, 'x_lu': 2257, 'y_lu': 1039, 'x_rd': 2489, 'y_rd': 1236, 'x_center': 2373.0, 'y_center': 1137.5}, {'obj_ID': 17, 'x_lu': 2060, 'y_lu': 750, 'x_rd': 2194, 'y_rd': 848, 'x_center': 2127.0, 'y_center': 799.0}, {'obj_ID': 18, 'x_lu': 2968, 'y_lu': 1015, 'x_rd': 3443, 'y_rd': 2044, 'x_center': 3205.5, 'y_center': 1529.5}, {'obj_ID': 19, 'x_lu': 112, 'y_lu': 952, 'x_rd': 428, 'y_rd': 1109, 'x_center': 270.0, 'y_center': 1030.5}, {'obj_ID': 20, 'x_lu': 1520, 'y_lu': 562, 'x_rd': 1782, 'y_rd': 756, 'x_center': 1651.0, 'y_center': 659.0}, {'obj_ID': 21, 'x_lu': 2016, 'y_lu': 880, 'x_rd': 2177, 'y_rd': 1007, 'x_center': 2096.5, 'y_center': 943.5}]"
6,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1129, 'y_rd': 1597, 'x_center': 937.5, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 329, 'y_lu': 1548, 'x_rd': 934, 'y_rd': 2000, 'x_center': 631.5, 'y_center': 1774.0}, {'obj_ID': 3, 'x_lu': 769, 'y_lu': 955, 'x_rd': 1022, 'y_rd': 1117, 'x_center': 895.5, 'y_center': 1036.0}, {'obj_ID': 4, 'x_lu': 2252, 'y_lu': 883, 'x_rd': 2418, 'y_rd': 1033, 'x_center': 2335.0, 'y_center': 958.0}, {'obj_ID': 5, 'x_lu': 2703, 'y_lu': 1001, 'x_rd': 2994, 'y_rd': 1234, 'x_center': 2848.5, 'y_center': 1117.5}, {'obj_ID': 6, 'x_lu': 2425, 'y_lu': 1342, 'x_rd': 2788, 'y_rd': 1645, 'x_center': 2606.5, 'y_center': 1493.5}, {'obj_ID': 7, 'x_lu': 45, 'y_lu': 1153, 'x_rd': 467, 'y_rd': 1448, 'x_center': 256.0, 'y_center': 1300.5}, {'obj_ID': 8, 'x_lu': 1195, 'y_lu': 1006, 'x_rd': 1470, 'y_rd': 1206, 'x_center': 1332.5, 'y_center': 1106.0}, {'obj_ID': 9, 'x_lu': 1356, 'y_lu': 1141, 'x_rd': 1619, 'y_rd': 1376, 'x_center': 1487.5, 'y_center': 1258.5}, {'obj_ID': 10, 'x_lu': 1397, 'y_lu': 873, 'x_rd': 1562, 'y_rd': 1021, 'x_center': 1479.5, 'y_center': 947.0}, {'obj_ID': 11, 'x_lu': 1095, 'y_lu': 836, 'x_rd': 1313, 'y_rd': 983, 'x_center': 1204.0, 'y_center': 909.5}, {'obj_ID': 12, 'x_lu': -5, 'y_lu': 1068, 'x_rd': 319, 'y_rd': 1280, 'x_center': 157.0, 'y_center': 1174.0}, {'obj_ID': 13, 'x_lu': 951, 'y_lu': 808, 'x_rd': 1149, 'y_rd': 951, 'x_center': 1050.0, 'y_center': 879.5}, {'obj_ID': 14, 'x_lu': 2360, 'y_lu': 757, 'x_rd': 2496, 'y_rd': 863, 'x_center': 2428.0, 'y_center': 810.0}, {'obj_ID': 15, 'x_lu': 1969, 'y_lu': 1170, 'x_rd': 2237, 'y_rd': 1434, 'x_center': 2103.0, 'y_center': 1302.0}, {'obj_ID': 16, 'x_lu': 2257, 'y_lu': 1037, 'x_rd': 2487, 'y_rd': 1232, 'x_center': 2372.0, 'y_center': 1134.5}, {'obj_ID': 17, 'x_lu': 2065, 'y_lu': 749, 'x_rd': 2198, 'y_rd': 846, 'x_center': 2131.5, 'y_center': 797.5}, {'obj_ID': 18, 'x_lu': 2961, 'y_lu': 1003, 'x_rd': 3438, 'y_rd': 2031, 'x_center': 3199.5, 'y_center': 1517.0}, {'obj_ID': 19, 'x_lu': 103, 'y_lu': 954, 'x_rd': 415, 'y_rd': 1109, 'x_center': 259.0, 'y_center': 1031.5}, {'obj_ID': 20, 'x_lu': 1518, 'y_lu': 562, 'x_rd': 1782, 'y_rd': 758, 'x_center': 1650.0, 'y_center': 660.0}, {'obj_ID': 21, 'x_lu': 2020, 'y_lu': 880, 'x_rd': 2177, 'y_rd': 1003, 'x_center': 2098.5, 'y_center': 941.5}]"
7,"[{'obj_ID': 1, 'x_lu': 746, 'y_lu': 1299, 'x_rd': 1128, 'y_rd': 1597, 'x_center': 937.0, 'y_center': 1448.0}, {'obj_ID': 2, 'x_lu': 329, 'y_lu': 1546, 'x_rd': 936, 'y_rd': 1999, 'x_center': 632.5, 'y_center': 1772.5}, {'obj_ID': 3, 'x_lu': 763, 'y_lu': 956, 'x_rd': 1019, 'y_rd': 1120, 'x_center': 891.0, 'y_center': 1038.0}, {'obj_ID': 4, 'x_lu': 2253, 'y_lu': 881, 'x_rd': 2417, 'y_rd': 1029, 'x_center': 2335.0, 'y_center': 955.0}, {'obj_ID': 5, 'x_lu': 2693, 'y_lu': 991, 'x_rd': 2992, 'y_rd': 1232, 'x_center': 2842.5, 'y_center': 1111.5}, {'obj_ID': 6, 'x_lu': 2425, 'y_lu': 1336, 'x_rd': 2782, 'y_rd': 1633, 'x_center': 2603.5, 'y_center': 1484.5}, {'obj_ID': 7, 'x_lu': 30, 'y_lu': 1162, 'x_rd': 449, 'y_rd': 1455, 'x_center': 239.5, 'y_center': 1308.5}, {'obj_ID': 8, 'x_lu': 1194, 'y_lu': 1005, 'x_rd': 1471, 'y_rd': 1206, 'x_center': 1332.5, 'y_center': 1105.5}, {'obj_ID': 9, 'x_lu': 1356, 'y_lu': 1141, 'x_rd': 1619, 'y_rd': 1377, 'x_center': 1487.5, 'y_center': 1259.0}, {'obj_ID': 10, 'x_lu': 1396, 'y_lu': 871, 'x_rd': 1563, 'y_rd': 1021, 'x_center': 1479.5, 'y_center': 946.0}, {'obj_ID': 11, 'x_lu': 1086, 'y_lu': 837, 'x_rd': 1304, 'y_rd': 985, 'x_center': 1195.0, 'y_center': 911.0}, {'obj_ID': 12, 'x_lu': -12, 'y_lu': 1072, 'x_rd': 310, 'y_rd': 1285, 'x_center': 149.0, 'y_center': 1178.5}, {'obj_ID': 13, 'x_lu': 944, 'y_lu': 811, 'x_rd': 1144, 'y_rd': 955, 'x_center': 1044.0, 'y_center': 883.0}, {'obj_ID': 14, 'x_lu': 2362, 'y_lu': 756, 'x_rd': 2495, 'y_rd': 860, 'x_center': 2428.5, 'y_center': 808.0}, {'obj_ID': 15, 'x_lu': 1966, 'y_lu': 1156, 'x_rd': 2240, 'y_rd': 1426, 'x_center': 2103.0, 'y_center': 1291.0}, {'obj_ID': 16, 'x_lu': 2256, 'y_lu': 1034, 'x_rd': 2484, 'y_rd': 1227, 'x_center': 2370.0, 'y_center': 1130.5}, {'obj_ID': 17, 'x_lu': 2068, 'y_lu': 748, 'x_rd': 2200, 'y_rd': 844, 'x_center': 2134.0, 'y_center': 796.0}, {'obj_ID': 18, 'x_lu': 2958, 'y_lu': 993, 'x_rd': 3433, 'y_rd': 2011, 'x_center': 3195.5, 'y_center': 1502.0}, {'obj_ID': 19, 'x_lu': 78, 'y_lu': 956, 'x_rd': 398, 'y_rd': 1115, 'x_center': 238.0, 'y_center': 1035.5}, {'obj_ID': 20, 'x_lu': 1516, 'y_lu': 563, 'x_rd': 1780, 'y_rd': 759, 'x_center': 1648.0, 'y_center': 661.0}, {'obj_ID': 21, 'x_lu': 2021, 'y_lu': 877, 'x_rd': 2179, 'y_rd': 1001, 'x_center': 2100.0, 'y_center': 939.0}, {'obj_ID': 22, 'x_lu': 2530, 'y_lu': 856, 'x_rd': 2720, 'y_rd': 1006, 'x_center': 2625.0, 'y_center': 931.0}]"
