,img_location_x,img_location_y
0,3812.278378,4389.227193
1,3776.074269,4401.885816
2,3729.014109,4407.768336
3,3689.3071,4415.121486
4,3646.65883,4421.004006
5,3608.422451,4431.298416
6,3573.127331,4437.180936
7,3533.420321,4446.004715
8,3499.595832,4450.416605
9,3458.418192,4457.769755
10,3427.534963,4463.652275
11,3386.357323,4472.476055
12,3348.120944,4476.887945
13,3309.884564,4485.711725
14,3280.471964,4491.594245
15,3239.294325,4498.947395
16,3202.528575,4504.829915
17,3165.762826,4512.183065
18,3126.055816,4519.536215
19,3086.348806,4525.418735
20,3046.37439,4533.82751
21,3005.779428,4542.604799
22,2972.864594,4545.896282
23,2933.366793,4553.57641
24,2852.17687,4567.839505
25,2812.679069,4576.616794
26,2741.363596,4590.879888
27,2702.962957,4598.560016
28,2632.744645,4611.72595
29,2593.246844,4618.308917
30,2513.154082,4630.377689
31,2712.837407,4992.440861
32,2751.238046,4983.663572
33,2822.55352,4969.400477
34,2862.05132,4962.817511
35,2944.338405,4946.360094
36,2983.836205,4938.679966
37,3017.8482,4934.291321
38,3057.346001,4926.611193
39,3096.843801,4916.736743
40,3136.341602,4910.153777
41,3175.839403,4903.57081
42,3214.965303,4897.761838
43,3395.852791,4862.076551
44,3437.690713,4854.693388
45,3467.223364,4849.77128
46,3425.385442,4971.593465
47,3410.619116,4971.593465
48,3210.043194,5008.509279
49,3195.276869,5009.739806
50,2986.087257,5050.347202
51,2972.551458,5052.808256
52,2925.791427,5029.428241
53,3058.447054,5344.004998
54,3026.033169,5468.798457
55,3058.447054,5413.694851
56,3314.516748,5339.142915
57,4082.183799,4054.741507
58,4078.822359,3957.259748
59,4078.822359,3879.946629
60,4078.822359,3789.18775
61,4078.822359,3718.597511
62,4078.822359,3644.645832
63,4078.822359,3563.971273
64,4078.822359,3483.296714
65,4078.822359,3405.983595
66,4075.460919,3321.947595
67,4078.822359,3244.634476
68,4075.460919,3167.321357
69,4078.822359,3093.369678
70,4078.822359,3005.972239
71,4078.822359,2918.5748
72,4078.822359,2831.177361
73,4078.822359,2753.864242
74,4075.460919,2673.189683
75,4078.822359,2602.599443
76,4078.822359,2518.563444
77,4078.822359,2444.611765
78,4078.822359,2370.660086
79,4075.460919,2279.901207
80,4082.183799,2216.033848
81,4078.822359,2131.997849
82,4082.183799,2058.046169
83,4078.822359,1994.17881
84,3174.163624,1873.371459
85,3134.216512,1873.371459
86,3099.111474,1875.792496
87,3060.37488,1874.581978
88,3030.111916,1877.003015
89,2990.164803,1877.003015
90,2956.270284,1878.213533
91,2915.112653,1879.424052
92,2877.586578,1881.845089
93,2837.639465,1881.845089
94,2807.376501,1883.055608
95,2768.639907,1884.266126
96,2734.745388,1885.476645
97,2696.008794,1886.687163
98,2658.482719,1886.687163
99,2618.535606,1887.897682
100,2589.483161,1890.318719
101,2549.536048,1890.318719
102,2375.221376,1896.371312
103,2335.274264,1898.792349
104,2302.590262,1898.792349
