,contours
18,"[[[4073, 5013], [4203, 4956]], [[4428, 3098], [4393, 3504], [4197, 3669], [4172, 3249]], [[4046, 3765], [4063, 4080], [3699, 4132], [3691, 3806]], [[3231, 3707], [3259, 3838], [2953, 3800], [2961, 3666]], [[3844, 5027], [3985, 4961]], [[3459, 4144], [3505, 4436], [3248, 4322], [3261, 3985]], [[2587, 2715], [2579, 2439], [2890, 2501], [2903, 2729]], [[3970, 2798], [4080, 2543], [4357, 2571], [4207, 2790]], [[3766, 2684], [3868, 2359], [4153, 2277], [4109, 2444]], [[2412, 2612], [2474, 2829]], [[3456, 1300], [3296, 1394]], [[2621, 2541], [2665, 2411], [2707, 2224], [2676, 2318]], [[4460, 3728], [4607, 4476], [4426, 4460]]]"
19,"[[[4072, 5010], [4206, 4955]], [[4069, 3819], [4084, 4078], [3713, 4116], [3710, 3832]], [[4479, 3080], [4463, 3461], [4225, 3667], [4196, 3302]], [[3252, 3723], [3274, 3847], [2972, 3791], [3001, 3683]], [[3843, 5027], [3986, 4957]], [[3495, 4221], [3522, 4463], [3258, 4370], [3273, 4093]], [[3958, 2837], [4025, 2606], [4352, 2508], [4221, 2715]], [[2563, 2682], [2570, 2451], [2838, 2550], [2844, 2727]], [[3768, 2743], [3851, 2416], [4150, 2323], [4103, 2527]], [[2402, 2624], [2453, 2819]], [[4478, 3610], [4620, 4385], [4493, 4366]], [[3458, 1298], [3296, 1394]], [[2603, 2489], [2620, 2361], [2698, 2236], [2665, 2332]], [[3004, 1299], [2875, 1365]]]"
20,"[[[4073, 5017], [4204, 4967]], [[4093, 3786], [4104, 4077], [3734, 4100], [3731, 3783]], [[4592, 3327], [4543, 3607], [4259, 3652], [4249, 3319]], [[3843, 5027], [3981, 4959]], [[3278, 3714], [3305, 3841], [3018, 3828], [3040, 3710]], [[3515, 4171], [3550, 4402], [3284, 4340], [3294, 4023]], [[3945, 2804], [4026, 2565], [4336, 2492], [4230, 2682]], [[3741, 2711], [3843, 2364], [4127, 2405], [4042, 2608]], [[2520, 2629], [2495, 2314], [2823, 2451], [2835, 2699]], [[2774, 1391]], [[3466, 1361], [3295, 1457]], [[4597, 4101], [4512, 4126], [4552, 3923]], [[3004, 1369], [2872, 1401]]]"
21,"[[[4071, 5007], [4206, 4955]], [[4108, 3804], [4116, 4081], [3755, 4112], [3763, 3856]], [[3299, 3719], [3320, 3839], [3037, 3812], [3064, 3701]], [[3843, 5028], [3986, 4960]], [[4578, 3646], [4287, 3654], [4269, 3359]], [[3523, 4176], [3566, 4415], [3307, 4328], [3326, 3991]], [[3937, 2851], [3979, 2610], [4325, 2447], [4219, 2663]], [[3720, 2737], [3847, 2402], [4133, 2442], [4045, 2619]], [[2515, 2705], [2477, 2377], [2804, 2422], [2824, 2672]], [[2779, 1418]], [[4613, 3909]], [[3461, 1331], [3299, 1427]], [[3008, 1328], [2871, 1370]]]"
22,"[[[4071, 5007], [4205, 4951]], [[4116, 3798], [4134, 4069], [3776, 4097], [3771, 3835]], [[3843, 5028], [3986, 4960]], [[4609, 3429], [4606, 3649], [4306, 3700], [4311, 3477]], [[3568, 4246], [3589, 4416], [3328, 4322], [3348, 4020]], [[3329, 3706], [3346, 3822], [3065, 3820], [3086, 3713]], [[3710, 2743], [3788, 2445], [4096, 2379], [4027, 2551]], [[3921, 2798], [3984, 2554], [4300, 2437], [4202, 2608]], [[2501, 2706], [2449, 2349], [2790, 2413], [2823, 2727]], [[4612, 3450], [4554, 4232]], [[2762, 1368]], [[3455, 1374], [3295, 1457]], [[3004, 1333], [2871, 1370]]]"
23,"[[[4071, 5007], [4203, 4952]], [[4139, 3823], [4160, 4077], [3793, 4111], [3791, 3839]], [[3361, 3728], [3377, 3842], [3086, 3813], [3107, 3705]], [[3843, 5028], [3984, 4955]], [[3611, 4324], [3613, 4462], [3346, 4340], [3349, 3963]], [[4588, 3576], [4349, 3663], [4354, 3264]], [[3693, 2588], [3775, 2264], [4065, 2262], [4003, 2461]], [[3883, 2772], [3982, 2475], [4283, 2488], [4132, 2734]], [[2469, 2697], [2414, 2355], [2734, 2350], [2777, 2695]], [[2763, 1405]], [[4620, 3729], [4600, 4228]], [[3452, 1341], [3290, 1402]], [[3008, 1264], [2868, 1341]]]"
24,"[[[4071, 5011], [4206, 4955]], [[4138, 3839], [4160, 4077], [3793, 4098], [3788, 3825]], [[3361, 3728], [3379, 3849], [3085, 3803], [3107, 3705]], [[3843, 5028], [3981, 4959]], [[3610, 4323], [3613, 4462], [3346, 4340], [3349, 3963]], [[4581, 3616], [4346, 3665], [4352, 3253]], [[3691, 2591], [3776, 2284], [4069, 2259], [3999, 2477]], [[3883, 2772], [3985, 2474], [4280, 2490], [4122, 2754]], [[2469, 2697], [2734, 2350], [2777, 2695]], [[2763, 1405]], [[4591, 4225]], [[3452, 1341], [3292, 1400]], [[3020, 1280], [2871, 1370]]]"
25,"[[[4071, 5007], [4205, 4951]], [[4162, 3792], [4176, 4051], [3810, 4099], [3816, 3895]], [[3844, 5027], [3986, 4957]], [[4379, 3684], [4400, 3229]], [[3639, 4264], [3645, 4459], [3368, 4366], [3407, 4008]], [[3393, 3713], [3400, 3839], [3109, 3804], [3135, 3704]], [[3676, 2694], [3755, 2390], [4045, 2325], [3998, 2491]], [[3859, 2734], [3977, 2439], [4233, 2534], [4089, 2765]], [[4554, 4165]], [[2753, 1379]], [[2445, 2665], [2706, 2386], [2740, 2691]], [[4466, 3254], [4564, 3167]], [[3450, 1344], [3290, 1438]], [[3014, 1321], [2871, 1370]]]"
26,"[[[4071, 5007], [4205, 4951]], [[4171, 3785], [4188, 4057], [3826, 4130], [3829, 3871]], [[3843, 5027], [3984, 4958]], [[3671, 4341], [3660, 4491], [3392, 4368], [3427, 4035]], [[3408, 3690], [3426, 3826], [3134, 3814], [3153, 3692]], [[4409, 3671], [4445, 3259]], [[3650, 2675], [3736, 2346], [4032, 2275], [3978, 2478]], [[3846, 2855], [3896, 2612], [4200, 2609], [4052, 2870]], [[2690, 2380], [2714, 2695]], [[4507, 3156], [4536, 2982]], [[2753, 1379]], [[3454, 1339], [3290, 1438]], [[3020, 1280], [2871, 1370]]]"
27,"[[[4071, 5007], [4204, 4952]], [[4190, 3799], [4208, 4070], [3847, 4100], [3849, 3828]], [[3843, 5027], [3984, 4958]], [[3677, 4337], [3677, 4496], [3411, 4364], [3417, 3986]], [[4427, 3731], [4483, 3235]], [[3446, 3671], [3451, 3805], [3166, 3822], [3182, 3713]], [[3623, 2608], [3701, 2233], [4011, 2191], [3937, 2452]], [[4491, 3108]], [[3822, 2870], [3875, 2696], [4134, 2837], [4026, 3024]], [[2664, 2385], [2689, 2699]], [[2758, 1442]], [[3452, 1341], [3295, 1433]], [[3037, 1293], [2879, 1425]]]"
28,"[[[4070, 5007], [4204, 4952]], [[4207, 3758], [4228, 4041], [3870, 4135], [3867, 3829]], [[3842, 5022], [3985, 4958]], [[3709, 4356], [3702, 4510], [3433, 4357], [3447, 4084]], [[4448, 3745], [4497, 3262]], [[3469, 3632], [3470, 3779], [3184, 3809], [3201, 3687]], [[3610, 2503], [3688, 2247], [3983, 2198], [3912, 2455]], [[3833, 2949], [3851, 2757], [4155, 2719], [4027, 2976]], [[4504, 3084], [4586, 2964]], [[2657, 2475], [2682, 2740]], [[3456, 1336], [3295, 1433]], [[3033, 1297], [2879, 1425]]]"
29,"[[[4070, 5007], [4204, 4952]], [[4221, 3747], [4244, 4043], [3884, 4128], [3879, 3820]], [[3841, 5007], [3985, 4951]], [[4486, 3653], [4527, 3374]], [[3507, 3645], [3512, 3792], [3207, 3802], [3226, 3700]], [[3707, 4346], [3708, 4500], [3458, 4351], [3488, 4089]], [[3594, 2574], [3694, 2175], [3954, 2334], [3857, 2545]], [[3834, 2726], [3930, 2430], [4228, 2286], [4181, 2556]], [[4513, 3099], [4606, 2929]], [[2651, 2624], [2670, 2840]], [[2757, 1329]], [[3454, 1303], [3296, 1394]]]"
