,img_location_x,img_location_y
0,1893.441806,1859.753014
1,1935.274452,1859.753014
2,1967.810954,1860.682628
3,2006.854757,1860.682628
4,2043.109717,1859.753014
5,2084.012748,1858.823399
6,2114.690022,1858.823399
7,2156.522668,1858.823399
8,2185.340713,1858.823399
9,2226.243744,1858.823399
10,2256.921018,1858.823399
11,2295.964821,1858.823399
12,2328.501323,1858.823399
13,2369.404355,1858.823399
14,2398.2224,1857.893785
15,2439.125432,1858.823399
16,2466.084248,1856.034556
17,2506.057665,1856.034556
18,2535.805324,1856.034556
19,2577.63797,1855.104942
20,2602.737558,1853.245713
21,2644.570204,1853.245713
22,2678.965935,1855.104942
23,2718.939352,1855.104942
24,2742.179711,1855.104942
25,2784.012357,1856.034556
26,2814.689631,1854.175328
27,2856.522277,1853.245713
28,2886.269936,1853.245713
29,2928.102582,1853.245713
30,2959.70947,1853.245713
31,3000.612502,1854.175328
32,3035.008233,1851.386485
33,3075.911264,1852.316099
34,3105.658924,1852.316099
35,3146.561955,1852.316099
36,3176.531209,1852.857761
37,3216.272222,1851.009342
38,3235.680624,1851.933552
39,3278.194267,1851.009342
40,3300.375298,1851.009342
41,3340.116311,1851.933552
42,3361.373133,1850.085133
43,3402.038356,1850.085133
44,3425.143596,1850.085133
45,3466.733029,1850.085133
46,3492.610899,1849.160923
47,3533.276122,1850.085133
48,3558.229782,1850.085133
49,3599.819214,1850.085133
50,3627.545503,1848.236713
51,3668.210726,1848.236713
52,3696.861224,1847.312504
53,3737.526448,1848.236713
54,3770.797994,1847.312504
55,3812.387427,1847.312504
56,3842.886344,1845.464085
57,3884.475777,1846.388294
58,3911.277856,1845.464085
59,3952.867289,1844.539875
60,3983.366207,1847.312504
61,4024.955639,1846.388294
62,4055.454557,1846.388294
63,4096.11978,1845.464085
64,4126.618698,1844.539875
65,4167.283921,1844.539875
66,4194.086,1845.464085
67,4235.675433,1844.539875
68,4272.643818,1843.615665
69,4312.384831,1843.615665
70,4229.125657,1459.03622
71,4189.932738,1459.03622
72,4082.968732,1459.852739
73,4042.959295,1458.219701
74,4012.748087,1462.302297
75,3972.738649,1461.485777
76,3942.527441,1463.118816
77,3900.884965,1462.302297
78,3869.791015,1462.942041
79,3828.363268,1460.921175
80,3801.081581,1462.942041
81,3759.653835,1460.921175
82,3729.340849,1463.952473
83,3688.923535,1462.942041
84,3654.568819,1463.952473
85,3615.161938,1465.973339
86,3584.848952,1464.962906
87,3544.431638,1462.942041
88,3516.139519,1466.983772
89,3475.722205,1464.962906
90,3450.461384,1466.983772
91,3409.033637,1464.962906
92,3383.037101,1467.518801
93,3341.679384,1465.397893
94,3318.34939,1464.337438
95,3278.052128,1464.337438
96,3256.843042,1468.579255
97,3215.485325,1466.458347
98,3191.094877,1465.397893
99,3153.650437,1465.724032
100,3131.030747,1467.054602
101,3092.444218,1465.724032
102,3063.171678,1468.385172
103,3023.254578,1467.054602
104,2991.320899,1468.385172
105,2951.403799,1468.385172
106,2916.808979,1472.376882
107,2876.89188,1471.046312
108,2843.62763,1469.715742
109,2803.710531,1467.054602
110,2771.776851,1469.715742
111,2731.859752,1469.715742
112,2698.595502,1471.046312
113,2658.678402,1471.046312
114,2636.058713,1469.715742
115,2596.141613,1471.046312
116,2561.878335,1468.375168
117,2521.27094,1468.375168
118,2491.738289,1470.836222
119,2453.591948,1469.605695
120,2421.598243,1470.836222
121,2382.221375,1472.066749
122,2353.919251,1473.297277
123,2315.77291,1472.066749
124,2285.691623,1473.622616
125,2245.714498,1473.622616
126,2212.400227,1473.622616
127,2173.533578,1472.51214
128,2142.440258,1473.622616
129,2101.352657,1473.622616
130,2071.369813,1472.51214
131,2031.392688,1473.622616
132,1999.188892,1474.733092
133,1960.322243,1473.622616
134,1922.566069,1475.843567
135,1883.699419,1475.843567
136,1849.274673,1473.622616
137,1812.474108,1479.307451
138,2029.19793,1362.236058
139,2276.869894,1359.074289
140,2289.516973,1358.020365
141,2537.188936,1359.074289
142,2550.889939,1356.966442
143,2793.292286,1356.966442
144,2805.939365,1354.858596
145,3050.449559,1354.858596
146,3088.390796,1353.804672
147,2055.450393,933.199111
148,3039.813272,614.2492803
149,3063.703506,604.2950162
150,2952.215747,190.1976264
151,3773.419331,438.2483336
152,3797.711338,431.3077604
153,3687.529738,21.81394278
154,4020.677251,387.929178
155,2849.333074,2160.973061
156,2897.753817,2266.618317
157,2939.571731,2355.756502
158,2984.691059,2431.689029
159,3028.709915,2507.621557
160,3083.733486,2595.65927
